id,code,name,active
evrk_A010000,A010000,"Augalininkystė ir gyvulininkystė, medžioklė ir susijusių paslaugų veikla",TRUE
evrk_A011000,A011000,Vienmečių augalų auginimas,TRUE
evrk_A011100,A011100,"Grūdinių (išskyrus ryžius), ankštinių ir aliejingų sėklų augalų auginimas",TRUE
evrk_A011200,A011200,Ryžių auginimas,TRUE
evrk_A011300,A011300,"Daržovių ir melionų, šakniavaisių ir gumbavaisių auginimas",TRUE
evrk_A011310,A011310,Bulvių auginimas,TRUE
evrk_A011320,A011320,Cukrinių runkelių auginimas,TRUE
evrk_A011330,A011330,Daržovių auginimas atvirame grunte,TRUE
evrk_A011340,A011340,Daržovių auginimas uždarame grunte,TRUE
evrk_A011350,A011350,Daržovių sėklų gavyba,TRUE
evrk_A011360,A011360,Grybų ir valgomųjų trumų auginimas,TRUE
evrk_A011400,A011400,Cukranendrių auginimas,TRUE
evrk_A011500,A011500,Tabako auginimas,TRUE
evrk_A011600,A011600,Pluoštinių augalų auginimas,TRUE
evrk_A011900,A011900,Kitų vienmečių augalų auginimas,TRUE
evrk_A011910,A011910,Gėlių auginimas,TRUE
evrk_A012000,A012000,Daugiamečių augalų auginimas,TRUE
evrk_A012100,A012100,Vynuogių auginimas,TRUE
evrk_A012200,A012200,Tropinių ir subtropinių vaisių ir uogų auginimas,TRUE
evrk_A012300,A012300,Citrusų vaisių auginimas,TRUE
evrk_A012400,A012400,Sėklavaisių ir kaulavaisių auginimas,TRUE
evrk_A012500,A012500,"Kitų vaismedžių, uogakrūmių ir riešutmedžių vaisių auginimas",TRUE
evrk_A012600,A012600,Aliejinių augalų vaisių ir uogų auginimas,TRUE
evrk_A012700,A012700,Gėrimams gaminti vartojamų augalų auginimas,TRUE
evrk_A012800,A012800,"Prieskoninių, kvapiųjų, vaistinių ir kitokių farmacijos pramonėje naudojamų augalų auginimas",TRUE
evrk_A012900,A012900,Kitų daugiamečių augalų auginimas,TRUE
evrk_A013000,A013000,Augalų dauginimas,TRUE
evrk_A013000,A013000,Augalų dauginimas,TRUE
evrk_A014000,A014000,Gyvulininkystė,TRUE
evrk_A014100,A014100,Pieninių galvijų auginimas,TRUE
evrk_A014200,A014200,Kitų galvijų ir buivolų auginimas,TRUE
evrk_A014210,A014210,Galvijų auginimas ir penėjimas mėsai,TRUE
evrk_A014220,A014220,Veislinių telyčių auginimas,TRUE
evrk_A014230,A014230,Veislinių bulių auginimas,TRUE
evrk_A014240,A014240,Veislinių bulių spermos gavyba,TRUE
evrk_A014300,A014300,Arklių ir kitų kanopinių gyvūnų auginimas,TRUE
evrk_A014400,A014400,Kupranugarių ir Camelidae šeimos gyvūnų auginimas,TRUE
evrk_A014500,A014500,Avių ir ožkų auginimas,TRUE
evrk_A014510,A014510,Avių auginimas,TRUE
evrk_A014520,A014520,Ožkų auginimas,TRUE
evrk_A014600,A014600,Kiaulių auginimas,TRUE
evrk_A014610,A014610,Kiaulių auginimas ir penėjimas mėsai,TRUE
evrk_A014620,A014620,Veislinių kiaulių auginimas,TRUE
evrk_A014700,A014700,Naminių paukščių auginimas,TRUE
evrk_A014710,A014710,Naminių paukščių auginimas mėsai ir kiaušinių gavybai,TRUE
evrk_A014720,A014720,Veislinių naminių paukščių auginimas,TRUE
evrk_A014900,A014900,Kitų gyvūnų auginimas,TRUE
evrk_A014910,A014910,Švelniakailių žvėrelių auginimas,TRUE
evrk_A014920,A014920,Bitininkystė,TRUE
evrk_A014930,A014930,Vynuoginių sraigių ir sliekų auginimas,TRUE
evrk_A015000,A015000,Mišrusis žemės ūkis,TRUE
evrk_A015000,A015000,Mišrusis žemės ūkis,TRUE
evrk_A016000,A016000,Žemės ūkiui būdingų paslaugų ir derliaus apdorojimo veikla,TRUE
evrk_A016100,A016100,Augalininkystei būdingų paslaugų veikla,TRUE
evrk_A016110,A016110,"Augalų apsaugos nuo ligų, kenkėjų ir piktžolių žemės ūkio paslaugų veikla",TRUE
evrk_A016120,A016120,Žemės ūkio augalų tręšimas mineralinėmis ir organinėmis trąšomis,TRUE
evrk_A016200,A016200,Gyvulininkystei būdingų paslaugų veikla,TRUE
evrk_A016210,A016210,Dirbtinio apsėklinimo veikla,TRUE
evrk_A016300,A016300,Derliaus apdorojimo veikla,TRUE
evrk_A016400,A016400,Sėklininkystė,TRUE
evrk_A017000,A017000,"Medžioklė, gaudymas spąstais ir susijusių paslaugų veikla",TRUE
evrk_A017000,A017000,"Medžioklė, gaudymas spąstais ir susijusių paslaugų veikla",TRUE
evrk_A020000,A020000,Miškininkystė ir medienos ruoša,TRUE
evrk_A021000,A021000,Miško medžių auginimas ir kita miškininkystės veikla,TRUE
evrk_A021000,A021000,Miško medžių auginimas ir kita miškininkystės veikla,TRUE
evrk_A022000,A022000,Medienos ruoša,TRUE
evrk_A022000,A022000,Medienos ruoša,TRUE
evrk_A023000,A023000,Laukinių nemedieninių produktų rinkimas,TRUE
evrk_A023000,A023000,Laukinių nemedieninių produktų rinkimas,TRUE
evrk_A023010,A023010,Miško grybų rinkimas,TRUE
evrk_A023020,A023020,Riešutų ir miško uogų rinkimas,TRUE
evrk_A024000,A024000,Miškininkystei būdingų paslaugų veikla,TRUE
evrk_A024000,A024000,Miškininkystei būdingų paslaugų veikla,TRUE
evrk_A030000,A030000,Žvejyba ir akvakultūra,TRUE
evrk_A031000,A031000,Žvejyba,TRUE
evrk_A031100,A031100,Jūrinė žvejyba,TRUE
evrk_A031110,A031110,Žuvų perdirbimas žvejybiniuose laivuose,TRUE
evrk_A031200,A031200,Gėlųjų vandenų žvejyba,TRUE
evrk_A032000,A032000,Akvakultūra,TRUE
evrk_A032100,A032100,Jūrinė akvakultūra,TRUE
evrk_A032200,A032200,Gėlųjų vandenų akvakultūra,TRUE
evrk_B050000,B050000,Akmens anglių ir rusvųjų anglių kasyba,TRUE
evrk_B051000,B051000,Juodųjų akmens anglių (antracito) kasyba,TRUE
evrk_B051000,B051000,Juodųjų akmens anglių (antracito) kasyba,TRUE
evrk_B052000,B052000,Rusvųjų anglių kasyba,TRUE
evrk_B052000,B052000,Rusvųjų anglių kasyba,TRUE
evrk_B060000,B060000,Žalios naftos ir gamtinių dujų gavyba,TRUE
evrk_B061000,B061000,Žalios naftos gavyba,TRUE
evrk_B061000,B061000,Žalios naftos gavyba,TRUE
evrk_B062000,B062000,Gamtinių dujų gavyba,TRUE
evrk_B062000,B062000,Gamtinių dujų gavyba,TRUE
evrk_B070000,B070000,Metalų rūdų kasyba,TRUE
evrk_B071000,B071000,Geležies rūdų kasyba,TRUE
evrk_B071000,B071000,Geležies rūdų kasyba,TRUE
evrk_B072000,B072000,Spalvotųjų metalų rūdų kasyba,TRUE
evrk_B072100,B072100,Urano ir torio rūdų kasyba,TRUE
