id,code,description
saft_account_general_1,1,ILGALAIKIS TURTAS
saft_account_general_11,11,Nematerialusis turtas
saft_account_general_111,111,Plėtros darbai
saft_account_general_1110,1110,Plėtros darbų atlikimo savikaina
saft_account_general_1118,1118,Plėtros darbų vertės amortizacija (-)
saft_account_general_1119,1119,Plėtros darbų vertės sumažėjimas (-)
saft_account_general_112,112,Prestižas
saft_account_general_1120,1120,Prestižo įsigijimo savikaina
saft_account_general_1128,1128,Prestižo vertės amortizacija (-)
saft_account_general_1129,1129,Prestižo vertės sumažėjimas (-)
saft_account_general_113,113,Programinė įranga
saft_account_general_1130,1130,Programinės įrangos įsigijimo savikaina
saft_account_general_1138,1138,Programinės įrangos vertės amortizacija (-)
saft_account_general_1139,1139,Programinės įrangos vertės sumažėjimas (-)
saft_account_general_114,114,"Koncesijos, patentai, licencijos, prekių ženklai ir panašios teisės"
saft_account_general_1140,1140,"Koncesijų, patentų, licencijų, prekių ženklų ir panašių teisių įsigijimo savikaina"
saft_account_general_1148,1148,"Koncesijų, patentų, licencijų, prekių ženklų ir panašių teisių vertės amortizacija (-)"
saft_account_general_1149,1149,"Koncesijų, patentų, licencijų, prekių ženklų ir panašių teisių vertės sumažėjimas (-)"
saft_account_general_115,115,Kitas nematerialusis turtas
saft_account_general_1150,1150,Kito nematerialaus turto įsigijimo savikaina
saft_account_general_1158,1158,Kito nematerialaus turto vertės amortizacija (-)
saft_account_general_1159,1159,Kito nematerialaus turto vertės sumažėjimas (-)
saft_account_general_116,116,Sumokėti avansai už nematerialųjį turtą
saft_account_general_12,12,Materialusis turtas
saft_account_general_120,120,Žemė
saft_account_general_1200,1200,Žemės įsigijimo savikaina
saft_account_general_1201,1201,Žemės vertės pokytis dėl perkainojimo
saft_account_general_1209,1209,Žemės vertės sumažėjimas (-)
saft_account_general_121,121,Pastatai ir statiniai
saft_account_general_1210,1210,Pastatų ir statinių įsigijimo savikaina
saft_account_general_1211,1211,Pastatų ir statinių vertės pokytis dėl perkainojimo
saft_account_general_1212,1212,Ruošiami naudoti pastatai ir statiniai
