id,code,name,user_type_id,cashflow_activity_id,currency_revaluation,reconcile,structured_code,use_rounding
l10n_lt.account_account_1,129,"Kitas materialusis turtas (Inventorius, baldai, biuro įranga ir kita)",Non-current Assets,,FALSE,,,
l10n_lt.account_account_2,1290,Kito materialaus turto įsigijimo savikaina,Non-current Assets,,FALSE,,,
l10n_lt.account_account_3,1291,Kito materialaus turto vertės pokytis dėl perkainojimo,Non-current Assets,,FALSE,,,
l10n_lt.account_account_4,1297,Kito materialaus turto savikainos nusidėvėjimas (-),Non-current Assets,,FALSE,,,
l10n_lt.account_account_5,1299,Kito materialaus turto vertės sumažėjimas (-),Non-current Assets,,FALSE,,,
l10n_lt.account_account_6,4486,"Mokėtinos sumos už patalpų, automobilių ir kt. nuomą (Kitos A klasės išmokos)",Payable,,TRUE,TRUE,,
l10n_lt.account_account_7,4487,Mokėtinas GPM nuo su darbo santykiais nesusijusių A klasės pajamų,Payable,,TRUE,TRUE,1411,FALSE
l10n_lt.account_account_8,6318,Per nurašymo aktus pripažįstamos sąnaudos,Expenses,,FALSE,,,
l10n_lt.account_account_9,6316,Suteiktos paramos ir labdaros sąnaudos,Expenses,,FALSE,,,
l10n_lt.1_account_393,44851,"Atostoginių kaupiniai, laikinieji skirtumai, leidžiami atskaitymai",Payable,Operating,FALSE,TRUE,,
l10n_lt.account_account_10,4485,Atostoginių kaupiniai,Payable,Operating,FALSE,TRUE,,
l10n_lt.account_account_11,44852,"Atostoginių kaupiniai, laikinieji skirtumai, neleidžiami atskaitymai",Payable,Operating,FALSE,TRUE,,
l10n_lt.account_account_12,62033,"Darbuotojų kaupinių sąnaudos, leidžiami atskaitymai",Expenses,,FALSE,,,
l10n_lt.account_account_13,62034,"Darbuotojų kaupinių sąnaudos, neleidžiami atskaitymai",Expenses,,FALSE,,,
l10n_lt.1_account_375,4420,Iš pirkėjų gauti avansai,Payable,Operating,FALSE,TRUE,,
l10n_lt.account_account_14,6317,Mažaverčio inventoriaus įsigijimo sąnaudos,Expenses,,FALSE,,,
l10n_lt.account_account_15,403,Gauta Parama,Non-current Liabilities,,FALSE,,,
l10n_lt.account_account_16,4422,Gauti depozitai (trumpalaikiai),Payable,,False,TRUE,,
l10n_lt.account_account_17,4232,Gauti depozitai (ilgalaikiai),Payable,,False,TRUE,,
l10n_lt.account_account_18,2082,Sumokėti depozitai (Ilgalaikiai ir trumpalaikiai),Receivable,,False,TRUE,,
l10n_lt.account_account_19,6319,MTEP Išlaidos,Expenses,,False,,,
l10n_lt.account_account_20,6811,Beviltiškų skolų sąnaudos,Expenses,,FALSE,,,
l10n_lt.account_account_21,304,Nario mokesčiai,Equity,,FALSE,,,
l10n_lt.account_account_22,3041,Gautini nario mokesčiai,Equity,,FALSE,,,
l10n_lt.account_account_23,3042,Gauti nario mokesčiai,Equity,,FALSE,,,
l10n_lt.account_account_24,6210,Tarpininkavimo sąnaudos,Expenses,,FALSE,,,
l10n_lt.account_account_25,6320,"Transporto, sandėliavimo ir logistikos sąnaudos",Expenses,,FALSE,,,
l10n_lt.account_account_26,6322,"Darbuotojų mokymo, atrankos ir kitos personalo administracinės sąnaudos",Expenses,,FALSE,,,
l10n_lt.account_account_27,6323,"Komandiruočių sąnaudos (išskyrus dienpinigius)
",Expenses,,FALSE,,,
l10n_lt.account_account_28,6324,"Degalų ir kuro (benzinas, dyzelinas, dujos) sąnaudos
",Expenses,,FALSE,,,
l10n_lt.account_account_29,6326,"Komunalinių paslaugų sąnaudos (ryšio, vandens, elektros, valymo ir kt.)
",Expenses,,FALSE,,,
l10n_lt.account_account_30,4433,"Įranga išsimokėtinai
",Non-current Liabilities,,FALSE,FALSE,,
l10n_lt.account_account_31,6006,Nurašymai į leidžiamus atskaitymus (1 %),Expenses,,FALSE,,,
l10n_lt.account_account_32,60061,Pavyzdžiai,Expenses,,FALSE,,,
l10n_lt.account_account_33,60062,Dužimai,Expenses,,FALSE,,,
l10n_lt.account_account_34,60063,Natūrali netektis,Expenses,,FALSE,,,
l10n_lt.account_account_35,60064,Sunaudota savom reikmėm,Expenses,,FALSE,,,
l10n_lt.account_account_36,35,FINANSAVIMAS,Equity,,FALSE,,,
l10n_lt.account_account_37,3501,Dotacija,Equity,,FALSE,,,
l10n_lt.account_account_38,3502,Tiksliniai įnašai,Equity,,FALSE,,,
