id,code,name,user_type_id,cashflow_activity_id,chart_template_id/id,currency_revaluation,reconcile,structured_code,use_rounding
account_1,1,ILGALAIKIS TURTAS,Non-current Assets,,lt_chart_template,FALSE,,,
account_2,11,Nematerialusis turtas,Non-current Assets,,lt_chart_template,FALSE,,,
account_3,111,Plėtros darbai,Non-current Assets,,lt_chart_template,FALSE,,,
account_4,1110,Plėtros darbų atlikimo savikaina,Non-current Assets,,lt_chart_template,FALSE,,,
account_5,1118,Plėtros darbų vertės amortizacija (-),Non-current Assets,,lt_chart_template,FALSE,,,
account_6,1119,Plėtros darbų vertės sumažėjimas (-),Non-current Assets,,lt_chart_template,FALSE,,,
account_7,112,Prestižas,Non-current Assets,,lt_chart_template,FALSE,,,
account_8,1120,Prestižo įsigijimo savikaina,Non-current Assets,,lt_chart_template,FALSE,,,
account_9,1128,Prestižo vertės amortizacija (-),Non-current Assets,,lt_chart_template,FALSE,,,
account_10,1129,Prestižo vertės sumažėjimas (-),Non-current Assets,,lt_chart_template,FALSE,,,
account_11,113,Programinė įranga,Non-current Assets,,lt_chart_template,FALSE,,,
account_12,1130,Programinės įrangos įsigijimo savikaina,Non-current Assets,,lt_chart_template,FALSE,,,
account_13,1138,Programinės įrangos vertės amortizacija (-),Non-current Assets,,lt_chart_template,FALSE,,,
account_14,1139,Programinės įrangos vertės sumažėjimas (-),Non-current Assets,,lt_chart_template,FALSE,,,
account_15,114,"Koncesijos, patentai, licencijos, prekių ženklai ir panašios teisės",Non-current Assets,,lt_chart_template,FALSE,,,
account_16,1140,"Koncesijų, patentų, licencijų, prekių ženklų ir panašių teisių įsigijimo savikaina",Non-current Assets,,lt_chart_template,FALSE,,,
account_17,1148,"Koncesijų, patentų, licencijų, prekių ženklų ir panašių teisių vertės amortizacija (-)",Non-current Assets,,lt_chart_template,FALSE,,,
account_18,1149,"Koncesijų, patentų, licencijų, prekių ženklų ir panašių teisių vertės sumažėjimas (-)",Non-current Assets,,lt_chart_template,FALSE,,,
account_19,115,Kitas nematerialusis turtas,Non-current Assets,,lt_chart_template,FALSE,,,
account_20,1150,Kito nematerialiojo turto įsigijimo savikaina,Non-current Assets,,lt_chart_template,FALSE,,,
account_21,1158,Kito nematerialiojo turto vertės amortizacija (-),Non-current Assets,,lt_chart_template,FALSE,,,
account_22,1159,Kito nematerialiojo turto vertės sumažėjimas (-),Non-current Assets,,lt_chart_template,FALSE,,,
account_23,116,Sumokėti avansai už nematerialųjį turtą,Non-current Assets,,lt_chart_template,FALSE,,,
account_24,12,Materialusis turtas,Non-current Assets,,lt_chart_template,FALSE,,,
account_25,120,Žemė,Non-current Assets,,lt_chart_template,FALSE,,,
account_26,1200,Žemės įsigijimo savikaina,Non-current Assets,,lt_chart_template,FALSE,,,
account_27,1201,Žemės vertės pokytis dėl perkainojimo,Non-current Assets,,lt_chart_template,FALSE,,,
account_28,1209,Žemės vertės sumažėjimas (-),Non-current Assets,,lt_chart_template,FALSE,,,
account_29,121,Pastatai ir statiniai,Non-current Assets,,lt_chart_template,FALSE,,,
account_30,1210,Pastatų ir statinių įsigijimo savikaina,Non-current Assets,,lt_chart_template,FALSE,,,
account_31,1211,Pastatų ir statinių vertės pokytis dėl perkainojimo,Non-current Assets,,lt_chart_template,FALSE,,,
account_32,1212,Ruošiami naudoti pastatai ir statiniai,Non-current Assets,,lt_chart_template,FALSE,,,
account_33,1217,Pastatų ir statinių įsigijimo savikainos nusidėvėjimas (-),Non-current Assets,,lt_chart_template,FALSE,,,
account_34,1218,Pastatų ir statinių vertės pokyčio dėl perkainojimo nusidėvėjimas (-),Non-current Assets,,lt_chart_template,FALSE,,,
account_35,1219,Pastatų ir statinių vertės sumažėjimas (-),Non-current Assets,,lt_chart_template,FALSE,,,
account_36,122,Mašinos ir įranga,Non-current Assets,,lt_chart_template,FALSE,,,
account_37,1220,Mašinų ir įrangos įsigijimo savikaina,Non-current Assets,,lt_chart_template,FALSE,,,
account_38,1221,Mašinų ir įrangos vertės pokytis dėl perkainojimo,Non-current Assets,,lt_chart_template,FALSE,,,
account_39,1222,Ruošiamos naudoti mašinos ir įranga,Non-current Assets,,lt_chart_template,FALSE,,,
account_40,1227,Mašinų ir įrangos įsigijimo savikainos nusidėvėjimas (-),Non-current Assets,,lt_chart_template,FALSE,,,
account_41,1228,Mašinų ir įrangos vertės pokyčio dėl perkainojimo nusidėvėjimas (-),Non-current Assets,,lt_chart_template,FALSE,,,
account_42,1229,Mašinų ir įrangos vertės sumažėjimas (-),Non-current Assets,,lt_chart_template,FALSE,,,
account_43,123,Transporto priemonės,Non-current Assets,,lt_chart_template,FALSE,,,
account_44,1230,Transporto priemonių įsigijimo savikaina,Non-current Assets,,lt_chart_template,FALSE,,,
account_45,1231,Transporto priemonių vertės pokytis dėl perkainojimo,Non-current Assets,,lt_chart_template,FALSE,,,
account_46,1232,Ruošiamos naudoti transporto priemonės,Non-current Assets,,lt_chart_template,FALSE,,,
account_47,1237,Transporto priemonių įsigijimo savikainos nusidėvėjimas (-),Non-current Assets,,lt_chart_template,FALSE,,,
account_48,1238,Transporto priemonių vertės pokyčio dėl perkainojimo nusidėvėjimas (-),Non-current Assets,,lt_chart_template,FALSE,,,
account_49,1239,Transporto priemonių vertės sumažėjimas (-),Non-current Assets,,lt_chart_template,FALSE,,,
account_50,124,"Kiti įrenginiai, prietaisai ir įrankiai",Non-current Assets,,lt_chart_template,FALSE,,,
account_51,1240,"Kitų įrenginių, prietaisų ir įrankių įsigijimo savikaina",Non-current Assets,,lt_chart_template,FALSE,,,
account_52,1241,"Kitų įrenginių, prietaisų ir įrankių vertės pokytis dėl perkainojimo",Non-current Assets,,lt_chart_template,FALSE,,,
