id,account_ids/account_src_id/id,account_ids/account_dest_id/id,active,company_id/id,country_id/id,country_group_id/id,name,state_ids/id,auto_apply,not_country_id/id,not_country_group_id/id,note,zip_from,zip_to,sequence,tax_ids/create_uid/id,tax_ids/create_date,tax_ids/product_type,tax_ids/tax_src_id/id,tax_ids/tax_dest_id/id,vat_required
l10n_lt.account_fiscal_position_eu_no_vat,,,True,,,base.europe,Trade in the EU (no VAT code),,True,base.lt,,,0,0,0,,,,,,False
l10n_lt.account_fiscal_position_eu,,,True,,,base.europe,Trade in the EU,,True,base.lt,,,0,0,0,deeper_data.deeper_user_7,2016-10-12 12:42:19,All,l10n_lt.account_tax_pvm32,l10n_lt.account_tax_pvm46,True
,,,,,,,,,,,,,,,,deeper_data.deeper_user_7,2016-10-12 12:42:19,All,l10n_lt.account_tax_pvm33,l10n_lt.account_tax_pvm46,
,,,,,,,,,,,,,,,,deeper_data.deeper_user_7,2016-10-12 12:42:19,All,l10n_lt.account_tax_pvm34,l10n_lt.account_tax_pvm46,
,,,,,,,,,,,,,,,,deeper_data.deeper_user_7,2016-10-12 12:42:19,All,l10n_lt.account_tax_pvm38,l10n_lt.account_tax_pvm37,
,,,,,,,,,,,,,,,,deeper_data.deeper_user_7,2016-10-12 12:42:19,Product,l10n_lt.account_tax_pvm35,l10n_lt.account_tax_pvm62,
,,,,,,,,,,,,,,,,deeper_data.deeper_user_7,2016-10-12 12:42:19,Service,l10n_lt.account_tax_pvm35,l10n_lt.account_tax_pvm58,
l10n_lt.fiscal_position_lt,,,True,,base.lt,,Trade in Lithuania,,True,,,,0,0,0,,,,,,False
l10n_lt.fiscal_position_3rd_countries,,,True,,,,Trade with 3rd coutries,,True,base.lt,base.europe,,0,0,0,base.user_root,2016-09-08 13:24:59,All,l10n_lt.account_tax_pvm32,l10n_lt.account_tax_pvm45,False
,,,,,,,,,,,,,,,,base.user_root,2016-09-08 13:24:59,All,l10n_lt.account_tax_pvm33,l10n_lt.account_tax_pvm45,
,,,,,,,,,,,,,,,,base.user_root,2016-09-08 13:24:59,All,l10n_lt.account_tax_pvm34,l10n_lt.account_tax_pvm45,
,,,,,,,,,,,,,,,,base.user_root,2016-09-08 13:24:59,All,l10n_lt.account_tax_pvm38,l10n_lt.account_tax_pvm37,
,,,,,,,,,,,,,,,,deeper_data.deeper_user_7,2016-10-12 12:41:59,Service,l10n_lt.account_tax_pvm35,l10n_lt.account_tax_pvm17,
,,,,,,,,,,,,,,,,deeper_data.deeper_user_7,2016-10-12 12:41:59,Product,l10n_lt.account_tax_pvm35,l10n_lt.account_tax_pvm12,
