id,include_base_amount,active,long_description,child_tax_ids/id,children_tax_ids/id,analytic,price_include,code,description,amount_type,name,account_id/id,sequence,show_description,amount,refund_account_id/id,type_tax_use,tax_adjustment,company_id/id,tag_ids/id
l10n_lt.1_account_tax_101,False,True,,,,False,False,S21,21%,Percentage of Price,PVM pridėjimas (21%),l10n_lt.1_account_248,63,False,21,l10n_lt.1_account_248,Pirkimai,False,base.main_company,
l10n_lt.1_account_tax_101_s,False,True,,,,False,False,S21,21%,Percentage of Price,PVM pridėjimas (21%),l10n_lt.1_account_399,63,False,21,l10n_lt.1_account_399,Pardavimai,False,base.main_company,
l10n_lt.1_account_tax_102,False,True,,,,False,False,S5,5%,Percentage of Price,PVM pridėjimas (5%),l10n_lt.1_account_248,64,False,5,l10n_lt.1_account_248,Pirkimai,False,base.main_company,
l10n_lt.1_account_tax_102_s,False,True,,,,False,False,S5,5%,Percentage of Price,PVM pridėjimas (5%),l10n_lt.1_account_399,64,False,5,l10n_lt.1_account_399,Pardavimai,False,base.main_company,
l10n_lt.1_account_tax_103,False,True,,,,False,False,Ne PVM,0%,Fiksuotas,NE PVM objektas,,7,False,0,,Pirkimai,False,base.main_company,
l10n_lt.1_account_tax_104,False,True,"Atvejai, kai prekių tiekimas ir paslaugų teikimas neapmokestinamas PVM (PVMĮ 20–33 str., 112 str. 1 ir 2 d.)",,,False,False,PVM5,"Neapmokestinama (PVMĮ 20–33 str., 112 str. 1 ir 2 d.)",Percentage of Price,PVM Neapmokestinami sandoriai ,,61,True,0,,Pirkimai,False,base.main_company,
l10n_lt.1_account_tax_pvm1,False,True,"Atvejai, kai pirkėjas išskaito ir sumoka PVM už jam tiekiamas prekes ar teikiamas paslaugas (PVMĮ 96 str.)",l10n_lt.1_account_tax_pvm61,,False,False,PVM26,9% (PVMĮ 96 str.),Percentage of Price,96 str. (9%),l10n_lt.1_account_248,10,True,9,l10n_lt.1_account_248,Pirkimai,False,base.main_company,"l10n_lt.tax35,l10n_lt.tax25,l10n_lt.tax33"
l10n_lt.1_account_tax_pvm10,False,True,"Atvejai, kai žemės ūkio produkcija ir paslaugos įsigytos iš ūkininkų, kuriems taikoma kompensacinio PVM tarifo schema",,,True,False,PVM49,6%,Percentage of Price,Pirkimas iš ūkininkų (6%) - Neatskaitoma,l10n_lt.1_account_484,19,True,6,l10n_lt.1_account_484,Pirkimai,False,base.main_company,l10n_lt.tax25
l10n_lt.1_account_tax_pvm100,False,True,,,,False,False,S9,9%,Percentage of Price,PVM pridėjimas (9%),l10n_lt.1_account_248,65,False,9,l10n_lt.1_account_248,Pirkimai,False,base.main_company,
l10n_lt.1_account_tax_pvm100_s,False,True,,,,False,False,S9,9%,Percentage of Price,PVM pridėjimas (9%),l10n_lt.1_account_399,65,False,9,l10n_lt.1_account_399,Pardavimai,False,base.main_company,
l10n_lt.1_account_tax_pvm11,False,True,"Atvejai, kai žemės ūkio produkcija ir paslaugos įsigytos iš ūkininkų, kuriems taikoma kompensacinio PVM tarifo schema",,,False,False,PVM49,6%,Percentage of Price,Pirkimas iš ūkininkų (6%) - Atskaitoma,l10n_lt.1_account_248,22,True,6,l10n_lt.1_account_248,Pirkimai,False,base.main_company,"l10n_lt.tax35,l10n_lt.tax25"
l10n_lt.1_account_tax_pvm12,False,True,,,,False,False,PVM48,0,Percentage of Price,Ne PVM objektas Lietuvoje - Pirkimas,l10n_lt.1_account_246,24,True,0,l10n_lt.1_account_246,Pirkimai,False,base.main_company,
l10n_lt.1_account_tax_pvm13,False,True,,,,False,False,PVM100,,Percentage of Price,Kiti atvejai - Pirkimas,l10n_lt.1_account_246,26,False,0,l10n_lt.1_account_246,Pirkimai,False,base.main_company,
l10n_lt.1_account_tax_pvm14,False,True,,,,False,False,PVM100,,Percentage of Price,Kiti atvejai - Pardavimas,,9,False,0,,Pardavimai,False,base.main_company,
l10n_lt.1_account_tax_pvm14p,False,True,,,,False,True,PVM100,,Percentage of Price,Kiti atvejai - Pardavimas su PVM,,9,False,0,,Pardavimai,False,base.main_company,
l10n_lt.1_account_tax_pvm15,False,True,"Iš užsienio valstybių (išskyrus iš ES PVM mokėtojų) įsigytos paslaugos, kurių pardavimo PVM apskaičiuoja pirkėjas (PVMĮ 95 str. 2 d.)",,,True,False,PVM37,5%,Percentage of Price,Paslaugų Pirkimas Ne-ES (5%) - Neatskaitoma,l10n_lt.1_account_484,28,True,5,l10n_lt.1_account_484,Pirkimai,False,base.main_company,"l10n_lt.tax23,l10n_lt.tax25,l10n_lt.tax32"
l10n_lt.1_account_tax_pvm16,False,True,"Iš ES PVM mokėtojų įsigytos paslaugos, kurių pardavimo PVM apskaičiuoja pirkėjas (PVMĮ 95 str. 2 d.)",,,True,False,PVM40,5%,Percentage of Price,Paslaugų Pirkimas ES (5%) - Neatskaitoma,l10n_lt.1_account_484,30,True,5,l10n_lt.1_account_484,Pirkimai,False,base.main_company,"l10n_lt.tax23,l10n_lt.tax24,l10n_lt.tax25,l10n_lt.tax32"
l10n_lt.1_account_tax_pvm17,False,True,"Iš užsienio valstybių (išskyrus iš ES PVM mokėtojų) įsigytos paslaugos, kurių pardavimo PVM apskaičiuoja pirkėjas (PVMĮ 95 str. 2 d.)",l10n_lt.1_account_tax_pvm60,,False,False,PVM20,21%,Percentage of Price,Paslaugų Pirkimas Ne-ES (21%) - Atskaitoma,l10n_lt.1_account_248,5,True,21,l10n_lt.1_account_248,Pirkimai,False,base.main_company,"l10n_lt.tax23,l10n_lt.tax35,l10n_lt.tax25,l10n_lt.tax32"
l10n_lt.1_account_tax_pvm18,False,True,"Iš užsienio valstybių (išskyrus iš ES PVM mokėtojų) įsigytos paslaugos, kurių pardavimo PVM apskaičiuoja pirkėjas (PVMĮ 95 str. 2 d.)",,,True,False,PVM20,21%,Percentage of Price,Paslaugų Pirkimas Ne-ES (21%) - Neatskaitoma,l10n_lt.1_account_484,18,True,21,l10n_lt.1_account_484,Pirkimai,False,base.main_company,"l10n_lt.tax23,l10n_lt.tax25,l10n_lt.tax32"
l10n_lt.1_account_tax_pvm19,False,True,"Iš užsienio valstybių (išskyrus iš ES PVM mokėtojų) įsigytos paslaugos, kurių pardavimo PVM apskaičiuoja pirkėjas (PVMĮ 95 str. 2 d.)",,,False,False,PVM37,5%,Percentage of Price,Paslaugų Pirkimas Ne-ES (5%) - Atskaitoma,l10n_lt.1_account_248,34,True,5,l10n_lt.1_account_248,Pirkimai,False,base.main_company,"l10n_lt.tax23,l10n_lt.tax35,l10n_lt.tax25,l10n_lt.tax32"
l10n_lt.1_account_tax_pvm2,False,True,Subject to reverse VAT charge in accordance with article 96 of the VAT Act.,l10n_lt.1_account_tax_pvm28,,False,False,PVM27,5% (PVMĮ 96 str.),Percentage of Price,96 str. (5%),l10n_lt.1_account_248,11,True,5,l10n_lt.1_account_248,Pirkimai,False,base.main_company,"l10n_lt.tax35,l10n_lt.tax25,l10n_lt.tax33"
l10n_lt.1_account_tax_pvm21,False,True,"Atvejai, kai iš kitų valstybių narių asmenų įsigytų prekių įsigijimas laikomas įvykusiu šalies teritorijoje (PVMĮ 41 ir 122 straipsniai)",,,True,False,PVM17,9%,Percentage of Price,Prekių Pirkimas ES (9%) - Neatskaitoma,l10n_lt.1_account_484,37,True,9,l10n_lt.1_account_484,Pirkimai,False,base.main_company,"l10n_lt.tax21,l10n_lt.tax25,l10n_lt.tax34"
l10n_lt.1_account_tax_pvm22,False,True,"Atvejai, kai iš kitų valstybių narių asmenų įsigytų prekių įsigijimas laikomas įvykusiu šalies teritorijoje (PVMĮ 41 ir 122 straipsniai)",l10n_lt.1_account_tax_pvm61,,False,False,PVM17,9%,Percentage of Price,Prekių Pirkimas ES (9%) - Atskaitoma,l10n_lt.1_account_248,38,True,9,l10n_lt.1_account_248,Pirkimai,False,base.main_company,"l10n_lt.tax21,l10n_lt.tax35,l10n_lt.tax25,l10n_lt.tax34"
l10n_lt.1_account_tax_pvm23,False,True,"Atvejai, kai iš kitų valstybių narių asmenų įsigytų prekių įsigijimas laikomas įvykusiu šalies teritorijoje (PVMĮ 41 ir 122 straipsniai)",l10n_lt.1_account_tax_pvm28,,False,False,PVM18,5%,Percentage of Price,Prekių Pirkimas ES (5%) - Atskaitoma ,l10n_lt.1_account_248,39,True,5,l10n_lt.1_account_248,Pirkimai,False,base.main_company,"l10n_lt.tax21,l10n_lt.tax35,l10n_lt.tax25,l10n_lt.tax34"
l10n_lt.1_account_tax_pvm24,False,True,"Atvejai, kai už šalies teritorijoje neįsikūrusio užsienio apmokestinamojo asmens šalies teritorijoje tiekiamas prekes ir / ar teikiamas paslaugas PVM apskaičiuoja ir sumoka pirkėjas (PVMĮ 95 str. 3, 4 ir 5 dalys)",,,False,False,PVM43,21%,Percentage of Price,Prekių Pirkimas Ne-ES (21%) - Atskaitoma,l10n_lt.1_account_248,40,True,21,l10n_lt.1_account_248,Pirkimai,False,base.main_company,"l10n_lt.tax21,l10n_lt.tax35,l10n_lt.tax25,l10n_lt.tax34"
l10n_lt.1_account_tax_pvm25,False,True,,,,True,False,PVM23,21%,Percentage of Price,Sumokėtas Importo PVM (21%) - Neatskaitomas,l10n_lt.1_account_484,20,False,21,l10n_lt.1_account_484,Pirkimai,False,base.main_company,l10n_lt.tax26
l10n_lt.1_account_tax_pvm26,False,True,"Importo PVM, kurio įskaitymą kontroliuoja VMI.",l10n_lt.1_account_tax_pvm87,,False,False,PVM24,5%,Percentage of Price,"Importo PVM, VMI (5%) - Atskaitomas",l10n_lt.1_account_247,21,False,5,l10n_lt.1_account_247,Pirkimai,False,base.main_company,"l10n_lt.tax35,l10n_lt.tax27"
l10n_lt.1_account_tax_pvm27,False,True,"Importo PVM, kurio įskaitymą kontroliuoja VMI.",l10n_lt.1_account_tax_pvm87,,True,False,PVM24,5%,Percentage of Price,"Importo PVM, VMI (5%) - Neatskaitomas",l10n_lt.1_account_484,23,False,5,l10n_lt.1_account_484,Pirkimai,False,base.main_company,l10n_lt.tax27
l10n_lt.1_account_tax_pvm28,False,True,PVM atėmimas (-5%),,,False,False,A5,"-5,00 %",Percentage of Price,PVM atėmimas (-5%),l10n_lt.1_account_399,41,False,-5,l10n_lt.1_account_399,Pirkimai,False,base.main_company,
l10n_lt.1_account_tax_pvm29,False,True,Article 5. Private use of goods by a VAT payer,,,False,False,PVM6,21%,Percentage of Price,Suvartojimas Privatiems Poreikiams (21%),l10n_lt.1_account_398,10,True,21,l10n_lt.1_account_398,Pardavimai,False,base.main_company,"l10n_lt.tax14,l10n_lt.tax29"
l10n_lt.1_account_tax_pvm29p,False,True,Article 5. Private use of goods by a VAT payer,,,False,True,PVM6,21%,Percentage of Price,Suvartojimas Privatiems Poreikiams (21%) su PVM,l10n_lt.1_account_398,10,True,21,l10n_lt.1_account_398,Pardavimai,False,base.main_company,"l10n_lt.tax14,l10n_lt.tax29"
l10n_lt.1_account_tax_pvm3,False,True,,,,True,False,PVM23,9%,Percentage of Price,Sumokėtas Importo PVM (9%) - Neatskaitomas,l10n_lt.1_account_484,12,False,9,l10n_lt.1_account_484,Pirkimai,False,base.main_company,l10n_lt.tax26
l10n_lt.1_account_tax_pvm30,False,True,PVM mokėtojo ilgalaikio materialiojo turto pasigaminimas ir nuosavybės teise priklausančio ar nepriklausančio pastato (statinio) esminis pagerinimas (PVMĮ 6 str.),,,False,False,PVM9,21%,Percentage of Price,IMT pasigaminimas (21%) - Atskaitoma,l10n_lt.1_account_248,11,True,21,l10n_lt.1_account_248,Pardavimai,False,base.main_company,"l10n_lt.tax15,l10n_lt.tax35,l10n_lt.tax25,l10n_lt.tax29"
l10n_lt.1_account_tax_pvm30p,False,True,PVM mokėtojo ilgalaikio materialiojo turto pasigaminimas ir nuosavybės teise priklausančio ar nepriklausančio pastato (statinio) esminis pagerinimas (PVMĮ 6 str.),,,False,True,PVM9,21%,Percentage of Price,IMT pasigaminimas (21%) - Atskaitoma su PVM,l10n_lt.1_account_248,11,True,21,l10n_lt.1_account_248,Pardavimai,False,base.main_company,"l10n_lt.tax15,l10n_lt.tax35,l10n_lt.tax25,l10n_lt.tax29"
l10n_lt.1_account_tax_pvm31,False,True,PVM mokėtojo ilgalaikio materialiojo turto pasigaminimas ir nuosavybės teise priklausančio ar nepriklausančio pastato (statinio) esminis pagerinimas (PVMĮ 6 str.),,,True,False,PVM9,21%,Percentage of Price,IMT pasigaminimas (21%) - Neatskaitoma,l10n_lt.1_account_484,12,True,21,l10n_lt.1_account_484,Pardavimai,False,base.main_company,"l10n_lt.tax15,l10n_lt.tax25,l10n_lt.tax29"
l10n_lt.1_account_tax_pvm31p,False,True,PVM mokėtojo ilgalaikio materialiojo turto pasigaminimas ir nuosavybės teise priklausančio ar nepriklausančio pastato (statinio) esminis pagerinimas (PVMĮ 6 str.),,,True,True,PVM9,21%,Percentage of Price,IMT pasigaminimas (21%) - Neatskaitoma su PVM,l10n_lt.1_account_484,12,True,21,l10n_lt.1_account_484,Pardavimai,False,base.main_company,"l10n_lt.tax15,l10n_lt.tax25,l10n_lt.tax29"
l10n_lt.1_account_tax_pvm32,False,True,Šalies teritorijoje patiektų prekių ir / ar suteiktų paslaugų standartinis PVM tarifas (PVMĮ 19 str. 1 ir 2 dalis),,,False,False,PVM1,21%,Percentage of Price,Pardavimas Šalies Teritorijoje (21%),l10n_lt.1_account_398,1,False,21,l10n_lt.1_account_398,Pardavimai,False,base.main_company,"l10n_lt.tax11,l10n_lt.tax29"
l10n_lt.1_account_tax_pvm32p,False,True,Šalies teritorijoje patiektų prekių ir / ar suteiktų paslaugų standartinis PVM tarifas (PVMĮ 19 str. 1 ir 2 dalis),,,False,True,PVM1,21%,Percentage of Price,Pardavimas Šalies Teritorijoje (21%) su PVM,l10n_lt.1_account_398,1,False,21,l10n_lt.1_account_398,Pardavimai,False,base.main_company,"l10n_lt.tax11,l10n_lt.tax29"
