id,account_ids/id,excluded_account_ids/id
sl_general_report.balansas0,,
sl_general_report.report_1,,
sl_general_report.report_2,l10n_lt.1_account_1,
sl_general_report.report_3,l10n_lt.1_account_2,
sl_general_report.report_4,l10n_lt.1_account_3,
sl_general_report.report_5,l10n_lt.1_account_7,
sl_general_report.report_6,l10n_lt.1_account_11,
sl_general_report.report_7,l10n_lt.1_account_15,
sl_general_report.report_8,l10n_lt.1_account_19,
sl_general_report.report_9,l10n_lt.1_account_23,
sl_general_report.report_10,l10n_lt.1_account_24,
sl_general_report.report_11,l10n_lt.1_account_25,
sl_general_report.report_12,l10n_lt.1_account_29,
sl_general_report.report_13,l10n_lt.1_account_36,
sl_general_report.report_14,l10n_lt.1_account_43,
sl_general_report.report_15,l10n_lt.1_account_50,
sl_general_report.report_16,l10n_lt.1_account_57,
sl_general_report.report_17,l10n_lt.1_account_58,
sl_general_report.report_18,l10n_lt.1_account_62,
sl_general_report.report_19,l10n_lt.1_account_67,
sl_general_report.report_20,"l10n_lt.1_account_73,l10n_lt.1_account_80,l10n_lt.account_account_1",
sl_general_report.report_23,l10n_lt.1_account_87,
sl_general_report.report_24,l10n_lt.1_account_88,
sl_general_report.report_25,l10n_lt.1_account_95,
sl_general_report.report_26,l10n_lt.1_account_102,
sl_general_report.report_27,l10n_lt.1_account_109,
sl_general_report.report_28,l10n_lt.1_account_112,
sl_general_report.report_29,l10n_lt.1_account_115,
sl_general_report.report_30,l10n_lt.1_account_118,
sl_general_report.report_31,l10n_lt.1_account_137,
sl_general_report.report_32,l10n_lt.1_account_148,
sl_general_report.report_34,l10n_lt.1_account_155,
sl_general_report.report_35,l10n_lt.1_account_156,
sl_general_report.report_36,l10n_lt.1_account_157,
sl_general_report.report_37,l10n_lt.1_account_171,
sl_general_report.report_38,l10n_lt.1_account_175,l10n_lt.1_account_301
sl_general_report.report_39,"l10n_lt.1_account_176,l10n_lt.1_account_224",
sl_general_report.report_40,l10n_lt.1_account_177,
sl_general_report.report_41,l10n_lt.1_account_182,
sl_general_report.report_42,l10n_lt.1_account_189,
sl_general_report.report_43,l10n_lt.1_account_194,
sl_general_report.report_44,l10n_lt.1_account_199,
sl_general_report.report_45,l10n_lt.1_account_213,
sl_general_report.report_46,l10n_lt.1_account_216,
sl_general_report.report_47,l10n_lt.1_account_219,
sl_general_report.report_48,l10n_lt.1_account_223,
sl_general_report.report_49,l10n_lt.1_account_224,
sl_general_report.report_50,l10n_lt.1_account_227,
sl_general_report.report_51,l10n_lt.1_account_228,
sl_general_report.report_52,l10n_lt.1_account_231,
sl_general_report.report_53,l10n_lt.1_account_238,
sl_general_report.report_54,l10n_lt.1_account_241,
sl_general_report.report_55,l10n_lt.1_account_262,
sl_general_report.report_56,l10n_lt.1_account_263,
sl_general_report.report_57,l10n_lt.1_account_272,
sl_general_report.report_58,l10n_lt.1_account_295,
sl_general_report.report_59,l10n_lt.1_account_301,
sl_general_report.report_60,"l10n_lt.1_account_1,l10n_lt.1_account_175",
sl_general_report.report_61,,
sl_general_report.report_62,"l10n_lt.1_account_304,l10n_lt.1_account_409,l10n_lt.1_account_435",l10n_lt.account_account_36
sl_general_report.report_63,l10n_lt.1_account_305,
sl_general_report.report_64,l10n_lt.1_account_306,
sl_general_report.report_65,l10n_lt.1_account_311,
sl_general_report.report_66,l10n_lt.1_account_312,
sl_general_report.report_67,"l10n_lt.1_account_313,l10n_lt.1_account_314,l10n_lt.1_account_315,l10n_lt.1_account_316,l10n_lt.1_account_317,l10n_lt.account_account_21",
sl_general_report.report_72,l10n_lt.1_account_318,
sl_general_report.report_73,l10n_lt.1_account_319,
sl_general_report.report_74,l10n_lt.1_account_322,
sl_general_report.report_75,l10n_lt.1_account_323,
sl_general_report.report_76,l10n_lt.1_account_324,
sl_general_report.report_77,l10n_lt.1_account_325,
sl_general_report.report_78,"l10n_lt.1_account_326,l10n_lt.1_account_409,l10n_lt.1_account_435,l10n_lt.1_account_335",
sl_general_report.report_79,"l10n_lt.1_account_327,l10n_lt.1_account_409,l10n_lt.1_account_435",
sl_general_report.report_80,l10n_lt.1_account_330,
sl_general_report.report_81,l10n_lt.1_account_335,
sl_general_report.report_82,"l10n_lt.1_account_337,l10n_lt.account_account_36",
sl_general_report.report_83,l10n_lt.1_account_340,
sl_general_report.report_84,l10n_lt.1_account_341,
sl_general_report.report_85,l10n_lt.1_account_342,
sl_general_report.report_86,l10n_lt.1_account_343,
sl_general_report.report_88,"l10n_lt.1_account_344,l10n_lt.1_account_363",
sl_general_report.report_90,l10n_lt.1_account_344,
sl_general_report.report_91,l10n_lt.1_account_345,
sl_general_report.report_92,l10n_lt.1_account_350,
sl_general_report.report_93,l10n_lt.1_account_353,
sl_general_report.report_94,l10n_lt.1_account_356,
sl_general_report.report_95,l10n_lt.1_account_357,
sl_general_report.report_96,l10n_lt.1_account_358,
sl_general_report.report_97,l10n_lt.1_account_361,
sl_general_report.report_98,l10n_lt.1_account_362,
sl_general_report.report_99,l10n_lt.1_account_363,
sl_general_report.report_100,l10n_lt.1_account_364,
sl_general_report.report_101,l10n_lt.1_account_370,
sl_general_report.report_102,l10n_lt.1_account_374,
sl_general_report.report_103,l10n_lt.1_account_377,
sl_general_report.report_104,l10n_lt.1_account_380,
