id,name,property_account_income_categ_id,property_account_expense_categ_id,property_stock_account_input_categ_id,property_stock_account_output_categ_id,property_stock_valuation_account_id,property_cost_method,property_valuation,refund_income_account_id,refund_expense_account_id,product_cost_account_id,robo_category
product_category_1,Perparduodamos prekės,5000,209,209,6000,2040,real,real_time,209,509,609,FALSE
product_category_2,Parduodamos paslaugos,5001,6312,,,,standard,manual_periodic,,,,TRUE
product_category_3,Nuoma,5001,6300,,,,standard,manual_periodic,,,,TRUE
product_category_4,Turto remontas / eksploatacija,5001,6301,,,,standard,manual_periodic,,,,TRUE
product_category_5,Elektros energija,5001,6312,,,,standard,manual_periodic,,,,TRUE
product_category_6,Dujos,5001,6312,,,,standard,manual_periodic,,,,TRUE
product_category_7,Vanduo,5001,6312,,,,standard,manual_periodic,,,,TRUE
product_category_8,Ryšių paslaugos,5001,6312,,,,standard,manual_periodic,,,,TRUE
product_category_9,Degalai,5001,6312,,,,standard,manual_periodic,,,,TRUE
product_category_10,Transporto paslaugos,5001,6312,,,,standard,manual_periodic,,,,TRUE
product_category_11,IT paslaugos,5001,6312,,,,standard,manual_periodic,,,,TRUE
product_category_12,Konsultavimo paslaugos,5001,6312,,,,standard,manual_periodic,,,,TRUE
product_category_13,Fotografavimo paslauga,5001,6312,,,,standard,manual_periodic,,,,TRUE
product_category_14,Komunalinės paslaugos,5001,6312,,,,standard,manual_periodic,,,,TRUE
product_category_15,Draudimas,5001,6303,,,,standard,manual_periodic,,,,TRUE
product_category_16,Reprezentacinės,5001,63141,,,,standard,manual_periodic,,,,TRUE
product_category_17,Reklama,5001,6312,,,,standard,manual_periodic,,,,TRUE
product_category_18,Suteikta labdara ir parama,5001,6312,,,,standard,manual_periodic,,,,TRUE
product_category_19,Dienpinigiai,5001,6312,,,,standard,manual_periodic,,,,TRUE
product_category_20,Komandiruotė,5001,6312,,,,standard,manual_periodic,,,,TRUE
product_category_21,Kanceliarinės,5001,6312,,,,standard,manual_periodic,,,,TRUE
product_category_22,Mokymai,5001,6312,,,,standard,manual_periodic,,,,TRUE
product_category_23,Kitos administracinės išlaidos,5001,6312,,,,standard,manual_periodic,,,,TRUE
product_category_24,Buhalterinės sąnaudos,5001,6312,,,,standard,manual_periodic,,,,TRUE
product_category_25,Suteiktų paslaugų savikaina,5001,6001,,,,standard,manual_periodic,,,,TRUE
product_category_26,Benzinas,5001,6312,,,,standard,manual_periodic,,,,TRUE
product_category_27,Dyzelinas,5001,6312,,,,standard,manual_periodic,,,,TRUE
product_category_28,Neleidžiami atskaitymai,5001,652,,,,standard,manual_periodic,,,,TRUE
product_category_29,Darbuotojų maitinimas,5001,6318,,,,standard,manual_periodic,,,,TRUE
product_category_30,Parduotų prekių savikaina,5000,6000,,,,standard,manual_periodic,,,,TRUE
product_category_31,Mažaverčio inventoriaus įsigijimo sąnaudos,5001,6317,,,,standard,manual_periodic,,,,TRUE
product_category_32,Palūkanos,,6806,,,,standard,manual_periodic,,,,TRUE
product_category_33,Lizingo dengimas,,4401,,,,standard,manual_periodic,,,,TRUE
product_category_34,Įranga išsimokėtinai,,4433,,,,standard,manual_periodic,,,,TRUE
product_category_35,Ilgalaikis turtas,,6312,,,,standard,manual_periodic,,,,TRUE
