id,gpm_proc,description,code
l10n_lt_payroll.a_klase_kodas_1,20,"Su darbo santykiais arba jų esmę atitinkančiais santykiais susijusios išmokos, išskyrus žymimas 07 ir 08 kodais",01
l10n_lt_payroll.a_klase_kodas_2,20,"Neribotos civilinės atsakomybės vieneto savo dalyviui ar mažosios bendrijos savo nariui – nenuolatiniam Lietuvos gyventojui – išmokėtos išmokos, pagal GPMĮ 2 straipsnio 34 dalį priskiriamos su darbo santykiais ar jų esmę atitinkančiais santykiais susijusioms pajamoms",02
l10n_lt_payroll.a_klase_kodas_3,15,"Ligos, motinystės, tėvystės, vaiko priežiūros ir nedarbo socialinio draudimo išmokos",03
l10n_lt_payroll.a_klase_kodas_4,0,"Dienpinigiai, išmokėti į komandiruotę išsiųstiems darbuotojams LR Vyriausybės 2003 m. sausio 28 d. nutarimo Nr. 99 „Dėl Komandiruočių sąnaudų atskaitymo iš pajamų taisyklių patvirtinimo“ nustatyta tvarka",05
l10n_lt_payroll.a_klase_kodas_5,0,"LR darbo kodekso nustatyta tvarka išmokėtos padidėjusių išlaidų kompensacijos darbuotojams, kurių darbas yra kilnojamojo pobūdžio arba susijęs su kelionėmis ar važiavimu",06
l10n_lt_payroll.a_klase_kodas_6,0,"Asmens, susijusio su gyventoju darbo santykiais ar jų esmę atitinkančiais santykiais, išmokėtų prizų vertė, per mokestinį laikotarpį neviršijanti 200 eurų",07
l10n_lt_payroll.a_klase_kodas_7,0,"Su darbo santykiais arba jų esmę atitinkančiais santykiais susijusios išmokos, kurios neapmokestinamos pagal GPMĮ 17 straipsnį, išskyrus žymimas 05, 06 ir 07 kodais",08
l10n_lt_payroll.a_klase_kodas_8,15,"Nekilnojamojo pagal prigimtį daikto, kuris buvo laikomas individualios veiklos turtu, pardavimo ar kitokio perleidimo nuosavybėn išmokos nenuolatiniam Lietuvos gyventojui",10
l10n_lt_payroll.a_klase_kodas_9,15,"Nenukirsto miško, apvaliosios medienos pardavimo ar kitokio perleidimo nuosavybėn išmokos",14
l10n_lt_payroll.a_klase_kodas_10,5,Ne individualios veiklos atliekų pardavimo ar kitokio perleidimo nuosavybėn išmokos,15
