id,description,code
b_klases_kodas_1," Neribotos civilinės atsakomybės vieneto savo dalyviui ar mažosios bendrijos savo nariui – nuolatiniam Lietuvos gyventojui – išmokėtos išmokos, pagal GPMĮ 2 straipsnio 34 dalį priskiriamos su darbo santykiais ar jų esmę atitinkančiais santykiais susijusioms pajamoms",02
b_klases_kodas_2,Neribotos civilinės atsakomybės vieneto savo dalyviui ar mažosios bendrijos savo nariui – nuolatiniam Lietuvos gyventojui – LR Vyriausybės 2003 m. sausio 28 d. nutarimo Nr. 99 „Dėl Komandiruočių sąnaudų atskaitymo iš pajamų taisyklių patvirtinimo“ nustatyta tvarka išmokėti dienpinigiai.,05
b_klases_kodas_3,"Nekilnojamojo pagal prigimtį daikto, kuris buvo laikomas individualios veiklos turtu, pardavimo ar kitokio perleidimo nuosavybėn išmokos nuolatiniam Lietuvos gyventojui",10
b_klases_kodas_4,"Finansinių priemonių pardavimo ar kitokio perleidimo nuosavybėn išmokos ir išvestinių finansinių priemonių realizavimo išmokos, kurioms taikoma GPMĮ 17 straipsnio 1 dalies 30 punkto lengvata",11
b_klases_kodas_5,"Finansinių priemonių pardavimo ar kitokio perleidimo nuosavybėn išmokos ir išvestinių finansinių priemonių realizavimo išmokos, kurioms netaikoma GPMĮ 17 straipsnio 1 dalies 30 punkto lengvata",12
b_klases_kodas_6,"Kito turto pardavimo ar kitokio perleidimo nuosavybėn išmokos, išskyrus žymimas 10, 11, 12, 16, 17, 18 ir 34 kodais",13
b_klases_kodas_7,"Privalomai registruotino kilnojamojo daikto arba daikto, kuris nekilnojamuoju pripažįstamas pagal įstatymus, pardavimo ar kitokio perleidimo nuosavybėn išmokos nuolatiniam Lietuvos gyventojui",16
b_klases_kodas_8,Nekilnojamojo pagal prigimtį daikto pardavimo ar kitokio perleidimo nuosavybėn išmokos (išskyrus žymimas 10 ir 18 kodais) nuolatiniam Lietuvos gyventojui,17
b_klases_kodas_9,Būsto (įskaitant priskirtą žemę) pardavimo ar kitokio perleidimo nuosavybėn išmokos nuolatiniam Lietuvos gyventojui,18
b_klases_kodas_10,"Už parduotas paties gyventojo surinktas miško gėrybes (grybus, uogas, riešutus, vaistažoles) išmokėtos išmokos",34
b_klases_kodas_11,"Išmokos iš paskirstytojo pelno (dividendai), išmokėtos mažosios bendrijos nariui – nuolatiniam Lietuvos gyventojui",26
b_klases_kodas_12,Neribotos civilinės atsakomybės vieneto savo dalyviui – nuolatiniam Lietuvos gyventojui – išmokėtos išmokos iš pelno po apmokestinimo,27
b_klases_kodas_13,Neribotos civilinės atsakomybės vieneto savo dalyviui – nuolatiniam Lietuvos gyventojui – išmokėtos išmokos ne iš pelno mokesčiu apmokestinto pelno,28
b_klases_kodas_14,Azartinių lošimų laimėjimai,42
b_klases_kodas_15,"Loterijų laimėjimai, išmokėti Lietuvos vienetų, kurie LR teisės aktų nustatyta tvarka moka mokestį nuo loterijų apyvartos",43
b_klases_kodas_16,"Indėlių palūkanos už EEE valstybių kredito įstaigose laikomus indėlius pagal sutartis, sudarytas iki 2013 m. gruodžio 31 d.",56
b_klases_kodas_17,Palūkanos už paskolas,58
b_klases_kodas_18,"Kitos palūkanos, išskyrus žymimas 56, 58, 64, 65, 66, 67 ir 68 kodais",59
b_klases_kodas_19,"Indėlių palūkanos pagal sutartis, sudarytas nuo 2014 m. sausio 1 d.",64
b_klases_kodas_20,"Palūkanos už EEE valstybių vyriausybių arba jų politinių ar teritorijos administracinių padalinių vertybinius popierius, įsigytus iki 2013 m. gruodžio
31 d.",65
b_klases_kodas_21,"Palūkanos už ne nuosavybės vertybinius popierius*, įsigytus iki 2013 m. gruodžio 31 d. ir pradėtus išpirkti ne anksčiau kaip po 366 dienų nuo jų išleidimo dienos",66
b_klases_kodas_22,"Palūkanos už ne nuosavybės vertybinius popierius* (įskaitant Lietuvos ir užsienio valstybių vyriausybių, taip pat jų politinių ar teritorijos administracinių padalinių ar vietos valdžios ne nuosavybės vertybinius popierius), įsigytus nuo 2014 m. sausio 1 d.",67
b_klases_kodas_23,"Pavėluoto mokėjimo palūkanos, numatytos atsiskaitymą už žemės ūkio produkciją reglamentuojančiuose LR teisės aktuose",68
b_klases_kodas_24,"Tiesioginės išmokos, išmokėtos pagal LR žemės ūkio, maisto ūkio ir kaimo plėtros įstatymą bei pagal kitus tokių išmokų išmokėjimą reglamentuojančius teisės aktus",36
b_klases_kodas_25,Pagal paslaugų kvitą išmokėtos išmokos,88
b_klases_kodas_26,Kitos su darbo santykiais nesusijusios ir ne individualios veiklos išmokos,70
b_klases_kodas_27,Individualią žemės ūkio veiklą vykdančiam gyventojui išmokėtos išmokos,35
b_klases_kodas_28,Individualią veiklą pagal verslo liudijimą vykdančiam gyventojui išmokėtos išmokos,92
b_klases_kodas_29,"Kitą individualią veiklą vykdančiam gyventojui išmokėtos išmokos, išskyrus žymimas 35, 92 ir 96 kodais",93
b_klases_kodas_30,"Šeimynos dalyvio išlaikymo išmokos, išmokėtos pagal LR šeimynų įstatymą",96
b_klases_kodas_31,"Pagal paslaugų sutartį už ne individualios veiklos paslaugas išmokėtos apmokestinamosios išmokos, išskyrus išmokas, kurioms žymėti nustatytas specialus kodas",77
b_klases_kodas_32,"Su darbo santykiais arba jų esmę atitinkančiais santykiais susijusios išmokos (įskaitant atleidžiamas nuo pajamų mokesčio GPMĮ 37 straipsnį), išskyrus žymimas 04 ir 08 kodais (nuo 2019-01-01)",01
