id,name,active
country_allowance_1,AFGANISTANO ISLAMO RESPUBLIKA,TRUE
country_allowance_2,AUSTRALIJA,TRUE
country_allowance_3,KUBOS RESPUBLIKA,TRUE
country_allowance_4,KUVEITO VALSTYBĖ,TRUE
country_allowance_5,LAOSO LIAUDIES DEMOKRATINĖ RESPUBLIKA,TRUE
country_allowance_6,LATVIJOS RESPUBLIKA (IŠSKYRUS RYGĄ),FALSE
country_allowance_7,LENKIJOS RESPUBLIKA,TRUE
country_allowance_8,LESOTO KARALYSTĖ,TRUE
country_allowance_9,LIBANO RESPUBLIKA,TRUE
country_allowance_10,LIBERIJOS RESPUBLIKA,TRUE
country_allowance_11,LIBIJA,TRUE
country_allowance_12,LICHTENŠTEINO KUNIGAIKŠTYSTĖ,TRUE
country_allowance_13,AUSTRIJOS RESPUBLIKA,TRUE
country_allowance_14,LIUKSEMBURGO DIDŽIOJI HERCOGYSTĖ,TRUE
country_allowance_15,MADAGASKARO RESPUBLIKA,FALSE
country_allowance_16,MALAIZIJA,TRUE
country_allowance_17,MALAVIO RESPUBLIKA,TRUE
country_allowance_18,MALDYVŲ RESPUBLIKA,FALSE
country_allowance_19,MALIO RESPUBLIKA,TRUE
country_allowance_20,MALTOS RESPUBLIKA,TRUE
country_allowance_21,MAROKO KARALYSTĖ,TRUE
country_allowance_22,MARŠALO SALŲ RESPUBLIKA,FALSE
country_allowance_23,MARTINIKA,FALSE
country_allowance_24,AZERBAIDŽANO RESPUBLIKA,TRUE
country_allowance_25,MAURICIJAUS RESPUBLIKA,TRUE
country_allowance_26,MAURITANIJOS ISLAMO RESPUBLIKA,TRUE
country_allowance_27,MEKSIKOS JUNGTINĖS VALSTIJOS,TRUE
country_allowance_28,MIANMARO SĄJUNGOS RESPUBLIKA,TRUE
country_allowance_29,MIKRONEZIJOS FEDERACINĖS VALSTIJOS,FALSE
country_allowance_30,MOLDOVOS RESPUBLIKA,TRUE
country_allowance_31,MONAKO KUNIGAIKŠTYSTĖ,TRUE
country_allowance_32,MONGOLIJA,TRUE
country_allowance_33,MOZAMBIKO RESPUBLIKA,TRUE
country_allowance_34,NAMIBIJOS RESPUBLIKA,TRUE
country_allowance_35,BAHAMŲ SANDRAUGA,TRUE
country_allowance_36,NAUJOJI KALEDONIJA,FALSE
country_allowance_37,NAUJOJI ZELANDIJA,TRUE
country_allowance_38,NAURU RESPUBLIKA,FALSE
country_allowance_39,NEPALO FEDERACINĖ DEMOKRATINĖ RESPUBLIKA,TRUE
country_allowance_40,NIGERIJOS FEDERACINĖ RESPUBLIKA,TRUE
country_allowance_41,NIGERIO RESPUBLIKA,FALSE
country_allowance_42,NIKARAGVOS RESPUBLIKA,FALSE
country_allowance_43,NYDERLANDŲ KARALYSTĖ,TRUE
country_allowance_44,NORVEGIJOS KARALYSTĖ,TRUE
