id,active,name,kodas,limit,categ_id/id,double_validation,tabelio_zymejimas_id/id
hr_holidays.holiday_status_cl,TRUE,Kasmetinės atostogos,A,TRUE,,FALSE,tabelio_zymejimas_A
hr_holidays.holiday_status_sl,TRUE,Nedarbingumas dėl ligos ar traumų,L,TRUE,,FALSE,tabelio_zymejimas_L
hr_holidays.holiday_status_unpaid,TRUE,Nemokamos atostogos,NA,TRUE,,FALSE,tabelio_zymejimas_NA
hr_holidays.holiday_status_G,TRUE,Nėštumo ir gimdymo atostogos,G,TRUE,,FALSE,tabelio_zymejimas_G
hr_holidays.holiday_status_TA,TRUE,Tėvystės atostogos,TA,TRUE,,FALSE,tabelio_zymejimas_TA
hr_holidays.holiday_status_K,TRUE,Tarnybinės komandiruotės,K,TRUE,,FALSE,tabelio_zymejimas_K
hr_holidays.holiday_status_comp,TRUE,Kompensuojamos dienos,,TRUE,,FALSE,
hr_holidays.holiday_status_V,TRUE,"Papildomos poilsio dienos, suteiktos už darbą virš kasdienio darbo laiko trukmės, darbą poilsio ir švenčių dienomis",V,TRUE,,FALSE,tabelio_zymejimas_V
hr_holidays.holiday_status_M,TRUE,"Papildomas poilsio laikas darbuotojams, auginantiems neįgalų vaiką iki 18 metų arba du ir daugiau vaikų iki 12 metų",M,TRUE,,FALSE,tabelio_zymejimas_M
hr_holidays.holiday_status_MP,TRUE,"Papildomas poilsio laikas darbuotojams pirmąją mokslo metų dieną, auginantiems vaiką iki 14 metų besimokantį bendrojo ugdymo įstaigoje",MP,TRUE,,FALSE,tabelio_zymejimas_MP
hr_holidays.holiday_status_NLL,TRUE,"Nemokamas laisvas laikas",NLL,TRUE,,FALSE,tabelio_zymejimas_NLL
hr_holidays.holiday_status_N,TRUE,Neapmokamas nedarbingumas,N,TRUE,,FALSE,tabelio_zymejimas_N
hr_holidays.holiday_status_NS,TRUE,"Nedarbingumas ligoniams slaugyti, turint pažymas",NS,TRUE,,FALSE,tabelio_zymejimas_NS
hr_holidays.holiday_status_MA,TRUE,Mokymosi atostogos,MA,TRUE,,FALSE,tabelio_zymejimas_MA
hr_holidays.holiday_status_KA,TRUE,Kūrybinės atostogos,KA,TRUE,,FALSE,tabelio_zymejimas_KA
hr_holidays.holiday_status_KR,TRUE,Kitų rūšių atostogos,KR,TRUE,,FALSE,tabelio_zymejimas_KR
hr_holidays.holiday_status_SŽ,TRUE,Stažuotės,SŽ,TRUE,,FALSE,tabelio_zymejimas_SŽ
hr_holidays.holiday_status_KV,TRUE,Kvalifikacijos kėlimas,KV,TRUE,,FALSE,tabelio_zymejimas_KV
hr_holidays.holiday_status_KVN,TRUE,Kvalifikacijos kėlimas (neapmokamas),KVN,TRUE,,FALSE,tabelio_zymejimas_KVN
hr_holidays.holiday_status_PR,TRUE,"Pertraukos darbe, pagal norminius teisės aktus įskaitomos į darbo laiką",PR,TRUE,,FALSE,tabelio_zymejimas_PR
hr_holidays.holiday_status_VV,TRUE,"Valstybinių, visuomeninių ar piliečio pareigų vykdymas",VV,TRUE,,FALSE,tabelio_zymejimas_VV
hr_holidays.holiday_status_KT,TRUE,Karinė tarnyba,KT,TRUE,,FALSE,tabelio_zymejimas_KT
hr_holidays.holiday_status_KM,TRUE,Mokomosios karinės pratybos,KM,TRUE,,FALSE,tabelio_zymejimas_KM
hr_holidays.holiday_status_PK,TRUE,Prastovos dėl darbuotojo kaltės,PK,TRUE,,FALSE,tabelio_zymejimas_PK
hr_holidays.holiday_status_PN,TRUE,Prastovos ne dėl darbuotojo kaltės,PN,TRUE,,FALSE,tabelio_zymejimas_PN
hr_holidays.holiday_status_PB,TRUE,Pravaikštos ir kitoks neatvykimas į darbą be svarbios priežasties,PB,TRUE,,FALSE,tabelio_zymejimas_PB
hr_holidays.holiday_status_ND,TRUE,Neatvykimas į darbą darbdaviui leidus,ND,TRUE,,FALSE,tabelio_zymejimas_ND
hr_holidays.holiday_status_NP,TRUE,Neatvykimas į darbą kitais norminių teisės aktų nustatytais laikotarpiais,NP,TRUE,,FALSE,tabelio_zymejimas_NP
hr_holidays.holiday_status_NN,TRUE,Nušalinimas nuo darbo,NN,TRUE,,FALSE,tabelio_zymejimas_NN
hr_holidays.holiday_status_P,TRUE,Poilsio dienos,P,TRUE,,FALSE,tabelio_zymejimas_P
hr_holidays.holiday_status_S,TRUE,Švenčių dienos,S,TRUE,,FALSE,tabelio_zymejimas_S
hr_holidays.holiday_status_ST,TRUE,Streikas,ST,TRUE,,FALSE,tabelio_zymejimas_ST
hr_holidays.holiday_status_TM,TRUE,Trijų mėnesių atostogos vaikui prižiūrėti,TM,TRUE,,FALSE,tabelio_zymejimas_PV
hr_holidays.holiday_status_VP,TRUE,Vaiko priežiūros atostogos,VP,TRUE,,FALSE,tabelio_zymejimas_PV
hr_holidays.holiday_status_D,TRUE,Kraujo davimo dienos donorams,D,TRUE,,FALSE,tabelio_zymejimas_D
hr_holidays.holiday_status_PP,TRUE,Priverstinė pravaikšta,PP,TRUE,,FALSE,tabelio_zymejimas_PP
