id,date,name
l10n_lt_payroll.2015_01_01,2015-01-01,Naujųjų metų diena
l10n_lt_payroll.2015_02_16,2015-02-16,Lietuvos valstybės atkūrimo diena
l10n_lt_payroll.2015_03_11,2015-03-11,Lietuvos nepriklausomybės atkūrimo diena
l10n_lt_payroll.2015_04_05,2015-04-05,Krikščionių Velykos (pagal vakarietiškąją tradiciją) 1 d.
l10n_lt_payroll.2015_04_06,2015-04-06,Krikščionių Velykos (pagal vakarietiškąją tradiciją) 2 d.
l10n_lt_payroll.2015_05_01,2015-05-01,Tarptautinę darbo dieną
l10n_lt_payroll.2015_05_03,2015-05-03,Motinos diena
l10n_lt_payroll.2015_06_24,2015-06-24,Rasos ir Joninių diena
l10n_lt_payroll.2015_07_06,2015-07-06,Valstybės (Lietuvos karaliaus Mindaugo karūnavimo) diena
l10n_lt_payroll.2015_08_15,2015-08-15,Žolinė (Švč. Mergelės Marijos ėmimo į dangų diena)
l10n_lt_payroll.2015_11_01,2015-11-01,Visų Šventųjų diena
l10n_lt_payroll.2015_12_24,2015-12-24,Šv. Kūčios
l10n_lt_payroll.2015_12_25,2015-12-25,Šv. Kalėdos 1 d.
l10n_lt_payroll.2015_12_26,2015-12-26,Šv. Kalėdos 2 d.
l10n_lt_payroll.2016_01_01,2016-01-01,Naujųjų metų diena
l10n_lt_payroll.2016_02_16,2016-02-16,Lietuvos valstybės atkūrimo diena
l10n_lt_payroll.2016_03_11,2016-03-11,Lietuvos nepriklausomybės atkūrimo diena
l10n_lt_payroll.2016_03_27,2016-03-27,Krikščionių Velykos (pagal vakarietiškąją tradiciją) 1 d.
l10n_lt_payroll.2016_03_28,2016-03-28,Krikščionių Velykos (pagal vakarietiškąją tradiciją) 2 d.
l10n_lt_payroll.2016_05_01,2016-05-01,Tarptautinę darbo dieną
l10n_lt_payroll.2016_05_01,2016-05-01,Motinos diena
l10n_lt_payroll.2016_06_24,2016-06-24,Rasos ir Joninių diena
l10n_lt_payroll.2016_07_06,2016-07-06,Valstybės (Lietuvos karaliaus Mindaugo karūnavimo) diena
l10n_lt_payroll.2016_08_15,2016-08-15,Žolinė (Švč. Mergelės Marijos ėmimo į dangų diena)
l10n_lt_payroll.2016_11_01,2016-11-01,Visų Šventųjų diena
l10n_lt_payroll.2016_12_24,2016-12-24,Šv. Kūčios
l10n_lt_payroll.2016_12_25,2016-12-25,Šv. Kalėdos 1 d.
l10n_lt_payroll.2016_12_26,2016-12-26,Šv. Kalėdos 2 d.
l10n_lt_payroll.2017_01_01,2017-01-01,Naujųjų metų diena
l10n_lt_payroll.2017_02_16,2017-02-16,Lietuvos valstybės atkūrimo diena
l10n_lt_payroll.2017_03_11,2017-03-11,Lietuvos nepriklausomybės atkūrimo diena
l10n_lt_payroll.2017_04_16,2017-04-16,Krikščionių Velykos (pagal vakarietiškąją tradiciją) 1 d.
l10n_lt_payroll.2017_04_17,2017-04-17,Krikščionių Velykos (pagal vakarietiškąją tradiciją) 2 d.
l10n_lt_payroll.2017_05_01,2017-05-01,Tarptautinę darbo dieną
l10n_lt_payroll.2017_05_07,2017-05-07,Motinos diena
l10n_lt_payroll.2017_06_24,2017-06-24,Rasos ir Joninių diena
l10n_lt_payroll.2017_07_06,2017-07-06,Valstybės (Lietuvos karaliaus Mindaugo karūnavimo) diena
l10n_lt_payroll.2017_08_15,2017-08-15,Žolinė (Švč. Mergelės Marijos ėmimo į dangų diena)
l10n_lt_payroll.2017_11_01,2017-11-01,Visų Šventųjų diena
l10n_lt_payroll.2017_12_24,2017-12-24,Šv. Kūčios
l10n_lt_payroll.2017_12_25,2017-12-25,Šv. Kalėdos 1 d.
l10n_lt_payroll.2017_12_26,2017-12-26,Šv. Kalėdos 2 d.
l10n_lt_payroll.2018_01_01,2018-01-01,Naujųjų metų diena
l10n_lt_payroll.2018_02_16,2018-02-16,Lietuvos valstybės atkūrimo diena
l10n_lt_payroll.2018_03_11,2018-03-11,Lietuvos nepriklausomybės atkūrimo diena
l10n_lt_payroll.2018_04_01,2018-04-01,Krikščionių Velykos (pagal vakarietiškąją tradiciją) 1 d.
l10n_lt_payroll.2018_04_02,2018-04-02,Krikščionių Velykos (pagal vakarietiškąją tradiciją) 2 d.
l10n_lt_payroll.2018_05_01,2018-05-01,Tarptautinę darbo dieną
l10n_lt_payroll.2018_05_06,2018-05-06,Motinos diena
l10n_lt_payroll.2018_06_24,2018-06-24,Rasos ir Joninių diena
l10n_lt_payroll.2018_07_06,2018-07-06,Valstybės (Lietuvos karaliaus Mindaugo karūnavimo) diena
l10n_lt_payroll.2018_08_15,2018-08-15,Žolinė (Švč. Mergelės Marijos ėmimo į dangų diena)
l10n_lt_payroll.2018_11_01,2018-11-01,Visų Šventųjų diena
l10n_lt_payroll.2018_12_24,2018-12-24,Šv. Kūčios
l10n_lt_payroll.2018_12_25,2018-12-25,Šv. Kalėdos 1 d.
l10n_lt_payroll.2018_12_26,2018-12-26,Šv. Kalėdos 2 d.
l10n_lt_payroll.2019_01_01,2019-01-01,Naujųjų metų diena
l10n_lt_payroll.2019_02_16,2019-02-16,Lietuvos valstybės atkūrimo diena
l10n_lt_payroll.2019_03_11,2019-03-11,Lietuvos nepriklausomybės atkūrimo diena
l10n_lt_payroll.2019_04_21,2019-04-21,Krikščionių Velykos (pagal vakarietiškąją tradiciją) 1 d.
l10n_lt_payroll.2019_04_22,2019-04-22,Krikščionių Velykos (pagal vakarietiškąją tradiciją) 2 d.
l10n_lt_payroll.2019_05_01,2019-05-01,Tarptautinę darbo dieną
l10n_lt_payroll.2019_05_05,2019-05-05,Motinos diena
l10n_lt_payroll.2019_06_24,2019-06-24,Rasos ir Joninių diena
l10n_lt_payroll.2019_07_06,2019-07-06,Valstybės (Lietuvos karaliaus Mindaugo karūnavimo) diena
l10n_lt_payroll.2019_08_15,2019-08-15,Žolinė (Švč. Mergelės Marijos ėmimo į dangų diena)
l10n_lt_payroll.2019_11_01,2019-11-01,Visų Šventųjų diena
l10n_lt_payroll.2019_12_24,2019-12-24,Šv. Kūčios
l10n_lt_payroll.2019_12_25,2019-12-25,Šv. Kalėdos 1 d.
l10n_lt_payroll.2019_12_26,2019-12-26,Šv. Kalėdos 2 d.
l10n_lt_payroll.2020_01_01,2020-01-01,Naujųjų metų diena
l10n_lt_payroll.2020_02_16,2020-02-16,Lietuvos valstybės atkūrimo diena
l10n_lt_payroll.2020_03_11,2020-03-11,Lietuvos nepriklausomybės atkūrimo diena
l10n_lt_payroll.2020_04_12,2020-04-12,Krikščionių Velykos (pagal vakarietiškąją tradiciją) 1 d.
l10n_lt_payroll.2020_04_13,2020-04-13,Krikščionių Velykos (pagal vakarietiškąją tradiciją) 2 d.
l10n_lt_payroll.2020_05_01,2020-05-01,Tarptautinę darbo dieną
l10n_lt_payroll.2020_05_03,2020-05-03,Motinos diena
l10n_lt_payroll.2020_06_24,2020-06-24,Rasos ir Joninių diena
l10n_lt_payroll.2020_07_06,2020-07-06,Valstybės (Lietuvos karaliaus Mindaugo karūnavimo) diena
l10n_lt_payroll.2020_08_15,2020-08-15,Žolinė (Švč. Mergelės Marijos ėmimo į dangų diena)
l10n_lt_payroll.2020_11_01,2020-11-01,Visų Šventųjų diena
l10n_lt_payroll.2020_11_02,2020-11-02,Mirusiųjų atminimo (Vėlinių) dieną
l10n_lt_payroll.2020_12_24,2020-12-24,Šv. Kūčios
l10n_lt_payroll.2020_12_25,2020-12-25,Šv. Kalėdos 1 d.
l10n_lt_payroll.2020_12_26,2020-12-26,Šv. Kalėdos 2 d.
l10n_lt_payroll.2021_01_01,2021-01-01,Naujųjų metų diena
l10n_lt_payroll.2021_02_16,2021-02-16,Lietuvos valstybės atkūrimo diena
l10n_lt_payroll.2021_03_11,2021-03-11,Lietuvos nepriklausomybės atkūrimo diena
l10n_lt_payroll.2021_04_04,2021-04-04,Krikščionių Velykos (pagal vakarietiškąją tradiciją) 1 d.
l10n_lt_payroll.2021_04_05,2021-04-05,Krikščionių Velykos (pagal vakarietiškąją tradiciją) 2 d.
l10n_lt_payroll.2021_05_01,2021-05-01,Tarptautinę darbo dieną
l10n_lt_payroll.2021_05_02,2021-05-02,Motinos diena
l10n_lt_payroll.2021_06_24,2021-06-24,Rasos ir Joninių diena
l10n_lt_payroll.2021_07_06,2021-07-06,Valstybės (Lietuvos karaliaus Mindaugo karūnavimo) diena
l10n_lt_payroll.2021_08_15,2021-08-15,Žolinė (Švč. Mergelės Marijos ėmimo į dangų diena)
l10n_lt_payroll.2021_11_01,2021-11-01,Visų Šventųjų diena
l10n_lt_payroll.2021_11_02,2021-11-02,Mirusiųjų atminimo (Vėlinių) dieną
l10n_lt_payroll.2021_12_24,2021-12-24,Šv. Kūčios
l10n_lt_payroll.2021_12_25,2021-12-25,Šv. Kalėdos 1 d.
l10n_lt_payroll.2021_12_26,2021-12-26,Šv. Kalėdos 2 d.
l10n_lt_payroll.2022_01_01,2022-01-01,Naujųjų metų diena
l10n_lt_payroll.2022_02_16,2022-02-16,Lietuvos valstybės atkūrimo diena
l10n_lt_payroll.2022_03_11,2022-03-11,Lietuvos nepriklausomybės atkūrimo diena
l10n_lt_payroll.2022_04_17,2022-04-17,Krikščionių Velykos (pagal vakarietiškąją tradiciją) 1 d.
l10n_lt_payroll.2022_04_18,2022-04-18,Krikščionių Velykos (pagal vakarietiškąją tradiciją) 2 d.
l10n_lt_payroll.2022_05_01,2022-05-01,Tarptautinę darbo dieną
l10n_lt_payroll.2022_05_01,2022-05-01,Motinos diena
l10n_lt_payroll.2022_06_24,2022-06-24,Rasos ir Joninių diena
l10n_lt_payroll.2022_07_06,2022-07-06,Valstybės (Lietuvos karaliaus Mindaugo karūnavimo) diena
l10n_lt_payroll.2022_08_15,2022-08-15,Žolinė (Švč. Mergelės Marijos ėmimo į dangų diena)
l10n_lt_payroll.2022_11_01,2022-11-01,Visų Šventųjų diena
l10n_lt_payroll.2022_11_02,2022-11-02,Mirusiųjų atminimo (Vėlinių) dieną
l10n_lt_payroll.2022_12_24,2022-12-24,Šv. Kūčios
l10n_lt_payroll.2022_12_25,2022-12-25,Šv. Kalėdos 1 d.
l10n_lt_payroll.2022_12_26,2022-12-26,Šv. Kalėdos 2 d.
l10n_lt_payroll.2023_01_01,2023-01-01,Naujųjų metų diena
l10n_lt_payroll.2023_02_16,2023-02-16,Lietuvos valstybės atkūrimo diena
l10n_lt_payroll.2023_03_11,2023-03-11,Lietuvos nepriklausomybės atkūrimo diena
l10n_lt_payroll.2023_04_09,2023-04-09,Krikščionių Velykos (pagal vakarietiškąją tradiciją) 1 d.
l10n_lt_payroll.2023_04_10,2023-04-10,Krikščionių Velykos (pagal vakarietiškąją tradiciją) 2 d.
l10n_lt_payroll.2023_05_01,2023-05-01,Tarptautinę darbo dieną
l10n_lt_payroll.2023_05_07,2023-05-07,Motinos diena
l10n_lt_payroll.2023_06_24,2023-06-24,Rasos ir Joninių diena
l10n_lt_payroll.2023_07_06,2023-07-06,Valstybės (Lietuvos karaliaus Mindaugo karūnavimo) diena
