id,name,code,active,is_holidays
tabelio_zymejimas_A,Kasmetinės atostogos,A,TRUE,TRUE
tabelio_zymejimas_BĮ,Budėjimas darbe,BĮ,TRUE,FALSE
tabelio_zymejimas_BN,Budėjimas namuose,BN,TRUE,FALSE
tabelio_zymejimas_D,Kraujo davimo dienos donorams,D,TRUE,TRUE
tabelio_zymejimas_DN,Darbas naktį,DN,TRUE,FALSE
tabelio_zymejimas_DP,Darbas poilsio ir švenčių dienomis,DP,TRUE,FALSE
tabelio_zymejimas_FD,Faktiškai dirbtas laikas,FD,TRUE,FALSE
tabelio_zymejimas_G,Nėštumo ir gimdymo atostogos,G,TRUE,TRUE
tabelio_zymejimas_ID,Laikas naujo darbo paieškoms,ID,TRUE,TRUE
tabelio_zymejimas_K,Tarnybinės komandiruotės,K,FALSE,FALSE
tabelio_zymejimas_KA,Kūrybinės atostogos,KA,TRUE,TRUE
tabelio_zymejimas_KM,Mokomosios karinės pratybos,KM,TRUE,TRUE
tabelio_zymejimas_KR,Kitų rūšių atostogos,KR,TRUE,TRUE
tabelio_zymejimas_KS,Darbas esant nukrypimams nuo normalių darbo sąlygų,KS,TRUE,FALSE
tabelio_zymejimas_KT,Karinė tarnyba,KT,TRUE,TRUE
tabelio_zymejimas_KV,Kvalifikacijos kėlimas,KV,TRUE,FALSE
tabelio_zymejimas_KVN,Kvalifikacijos kėlimas (neapmokamas),KVN,TRUE,FALSE
tabelio_zymejimas_L,Nedarbingumas dėl ligos ar traumų,L,TRUE,TRUE
tabelio_zymejimas_M,"Papildomas poilsio laikas darbuotojams, auginantiems neįgalų vaiką iki 18 metų arba du ir daugiau vaikų iki 12 metų",M,TRUE,TRUE
tabelio_zymejimas_MP,"Papildomas poilsio laikas darbuotojams pirmąją mokslo metų dieną, auginantiems vaiką iki 14 metų besimokantį bendrojo ugdymo įstaigoje",MP,TRUE,FALSE
tabelio_zymejimas_MA,Mokymosi atostogos,MA,TRUE,TRUE
tabelio_zymejimas_MD,Privalomų medicininių apžiūrų laikas,MD,TRUE,TRUE
tabelio_zymejimas_N,Neapmokamas nedarbingumas,N,TRUE,TRUE
tabelio_zymejimas_NA,Nemokamos atostogos,NA,TRUE,TRUE
tabelio_zymejimas_ND,Neatvykimas į darbą administracijai leidus,ND,TRUE,TRUE
tabelio_zymejimas_NN,Nušalinimas nuo darbo,NN,TRUE,TRUE
tabelio_zymejimas_NP,Neatvykimas į darbą kitais norminių teisės aktų nustatytais laikotarpiais,NP,TRUE,TRUE
tabelio_zymejimas_NS,"Nedarbingumas ligoniams slaugyti, turint pažymas",NS,TRUE,TRUE
tabelio_zymejimas_P,Poilsio dienos,P,TRUE,TRUE
tabelio_zymejimas_PB,Pravaikštos ir kitoks neatvykimas į darbą be svarbios priežasties,PB,TRUE,TRUE
tabelio_zymejimas_PK,Prastovos dėl darbuotojo kaltės,PK,TRUE,TRUE
tabelio_zymejimas_PN,Prastovos ne dėl darbuotojo kaltės,PN,TRUE,TRUE
tabelio_zymejimas_PR,"Pertraukos darbe, pagal norminius teisės aktus įskaitomos į darbo laiką",PR,TRUE,TRUE
tabelio_zymejimas_PV,"Vaiko priežiūros atostogos",PV,TRUE,TRUE
tabelio_zymejimas_S,Švenčių dienos,S,TRUE,TRUE
tabelio_zymejimas_ST,Streikas,ST,TRUE,TRUE
tabelio_zymejimas_SŽ,Stažuotės,SŽ,TRUE,TRUE
tabelio_zymejimas_TA,Tėvystės atostogos,TA,TRUE,TRUE
tabelio_zymejimas_V,"Papildomos poilsio dienos, suteiktos už darbą virš kasdienio darbo laiko trukmės, darbą poilsio ir švenčių dienomis",V,TRUE,TRUE
tabelio_zymejimas_VD,Viršvalandinis darbas,VD,TRUE,FALSE
tabelio_zymejimas_VDN,Viršvalandinis darbas naktį,VDN,TRUE,FALSE
tabelio_zymejimas_VDS,Viršvalandinis darbas švenčių dienomis,VDS,TRUE,FALSE
tabelio_zymejimas_VV,"Valstybinių, visuomeninių ar piliečio pareigų vykdymas",VV,TRUE,TRUE
tabelio_zymejimas_SNV,Šventinės naktinės valandos,SNV,TRUE,FALSE
tabelio_zymejimas_NDL,Neįvykdyta darbo laiko norma,NDL,TRUE,FALSE
tabelio_zymejimas_VDL,Viršyta darbo laiko norma,VDL,TRUE,FALSE
tabelio_zymejimas_VSS,Viršvalandžiai švenčių dienomis,VSS,TRUE,FALSE
tabelio_zymejimas_NT,Nuotolinis darbas,NT,TRUE,FALSE
tabelio_zymejimas_PP,Priverstinė pravaikšta,PP,TRUE,TRUE
tabelio_zymejimas_DLS,Darbas lauko sąlygomis,DLS,TRUE,FALSE
tabelio_zymejimas_NLL,Nemokamas laisvas laikas,NLL,TRUE,FALSE
