id,icon,color
l10n_lt.product_category_1,icon-cart-exchange,#CCD1D1
l10n_lt.product_category_2,icon-cashier,#D5DBDB
l10n_lt.product_category_3,icon-home4,#E5E7E9
l10n_lt.product_category_4,icon-hammer-wrench,#1ABC9C
l10n_lt.product_category_5,icon-power,#85C1E9
l10n_lt.product_category_6,icon-wind,#A9CCE3
l10n_lt.product_category_7,icon-drop2,#34495E
l10n_lt.product_category_8,icon-telephone,#E74C3C
l10n_lt.product_category_9,icon-gas,#F1948A 
l10n_lt.product_category_10,icon-bus2,#3498DB
l10n_lt.product_category_11,icon-mouse,#A2D9CE
l10n_lt.product_category_12,icon-bubbles,#F5CBA7
l10n_lt.product_category_13,icon-camera2,#A3E4D7
l10n_lt.product_category_14,icon-factory,#FAD7A0
l10n_lt.product_category_15,icon-shield-check,#BB8FCE
l10n_lt.product_category_16,icon-gift,#ABB2B9
l10n_lt.product_category_17,icon-bullhorn,#AEB6BF
l10n_lt.product_category_18,icon-lifebuoy,#8E44AD
l10n_lt.product_category_19,icon-wallet,#D7BDE2
l10n_lt.product_category_20,icon-plane,#F9E79F
l10n_lt.product_category_21,icon-pencil-ruler2,#A9DFBF
l10n_lt.product_category_22,icon-graduation-hat,#EDBB99
l10n_lt.product_category_23,icon-bag,#ABEBC6
l10n_lt.product_category_24,icon-calculator,#99b3e6
l10n_lt.product_category_25,icon-cash-euro,#ffb366
l10n_lt.product_category_26,icon-gas,#a17b76
l10n_lt.product_category_27,icon-gas,#243341
l10n_lt.product_category_28,icon-coin-euro,#ff4d4d
l10n_lt.product_category_29,icon-dinner,#333399
l10n_lt.product_category_30,icon-cog,#ad1827
l10n_lt.product_category_31,icon-screwdriver,#5dcc49
l10n_lt.product_category_32,icon-coin-euro,#333c9b
l10n_lt.product_category_33,icon-coin-euro,#161c5b
l10n_lt.product_category_34,icon-tablet,#db2959
l10n_lt.product_category_35,icon-city,#4286f4
