id,name
front_res_groups_category_system,Sistema
front_res_groups_category_analytics,Analitika
front_res_groups_category_invoices,Sąskaitos
front_res_groups_category_other,Kita
front_res_groups_category_edocs,E-Dokumentai
front_res_groups_category_payments,Mokėjimai
front_res_groups_category_ticketing,Pagalbos užklausos
front_res_groups_category_kasa,Kasa
front_res_groups_category_robo_vadovas,Robo Vadovas
front_res_groups_category_employees,Darbuotojai
front_res_groups_category_mrp,Gamyba
front_res_groups_category_stock,Sandėlio valdymas
front_res_groups_category_users,Naudotojai
front_res_groups_category_work_schedule,Grafikas
front_res_groups_category_projects,Projektai
front_res_groups_category_sales,Pardavimai
front_res_groups_category_purchases,Pirkimai
front_res_groups_category_products,Produktai
