id,name,code,product_type
gpais_klasifikatorius_1,"Padangos, sveriančios daugiau kaip 3 kg",CL110:AG10:2012-12-13,apmokestinamasGaminys
gpais_klasifikatorius_2,Naujos padangos,CL110:AG11:2012-12-13,apmokestinamasGaminys
gpais_klasifikatorius_3,Restauruotos padangos,CL110:AG12:2012-12-13,apmokestinamasGaminys
gpais_klasifikatorius_4,Naudotos padangos,CL110:AG13:2012-12-13,apmokestinamasGaminys
gpais_klasifikatorius_5,Akumuliatoriai,CL110:AG20:2012-12-13,apmokestinamasGaminys
gpais_klasifikatorius_6,Baterijos (galvaniniai elementai),CL110:AG30:2012-12-13,apmokestinamasGaminys
gpais_klasifikatorius_8,Vidaus degimo variklių filtrai: degalų,CL110:AG41:2012-12-13,apmokestinamasGaminys
gpais_klasifikatorius_9,Vidaus degimo variklių filtrai: tepalų,CL110:AG42:2012-12-13,apmokestinamasGaminys
gpais_klasifikatorius_10,Vidaus degimo variklių filtrai: įsiurbiamo oro,CL110:AG43:2012-12-13,apmokestinamasGaminys
gpais_klasifikatorius_11,Automobilių hidrauliniai (tepaliniai) amortizatoriai,CL110:AG50:2012-12-13,apmokestinamasGaminys
gpais_klasifikatorius_12,Stambūs namų apyvokos prietaisai,CL109:1:2005-08-24,elektronineIranga
gpais_klasifikatorius_13,Temperatūros keitimo įranga,CL109:1:2017-04-01,elektronineIranga
gpais_klasifikatorius_14,Automatiniai daiktų išdavimo įtaisai,CL109:10:2005-08-24,elektronineIranga
gpais_klasifikatorius_15,"Stambūs namų apyvokos prietaisai, išskyrus prietaisus su šaldymo įranga",CL109:1A:2012-01-19,elektronineIranga
gpais_klasifikatorius_16,Stambūs namų apyvokos prietaisai su šaldymo įranga,CL109:1B:2012-01-19,elektronineIranga
gpais_klasifikatorius_17,Smulkūs namų apyvokos prietaisai,CL109:2:2005-08-24,elektronineIranga
