id,kodas,name
darbo_kodas_1, 1,Vadovai
darbo_kodas_2, 11,"Teisės aktų leidėjai, vyresnieji valstybės tarnautojai, įmonių, įstaigų, organizacijų ir kiti vadovai"
darbo_kodas_3, 111,Teisės aktų leidėjai ir vyresnieji valstybės tarnautojai
darbo_kodas_4, 1111,Teisės aktų leidėjai
darbo_kodas_5, 111101,Respublikos Prezidentas
darbo_kodas_6, 111102,Seimo Pirmininkas
darbo_kodas_7, 111103,Seimo narys
darbo_kodas_8, 111104,Ministras Pirmininkas
darbo_kodas_9, 111105,Ministras
darbo_kodas_10, 111106,Savivaldybės tarybos narys
darbo_kodas_11, 111107,Meras
darbo_kodas_12, 111108,Europos Parlamento narys
darbo_kodas_13, 111109,Seimo pareigūnas
darbo_kodas_14, 1112,Vyresnieji valstybės tarnautojai
darbo_kodas_15, 111201,Seimo kancleris
darbo_kodas_16, 111202,Respublikos Prezidento kanceliarijos kancleris
darbo_kodas_17, 111203,Teismo (išskyrus apygardos teismą) kancleris
darbo_kodas_18, 111204,Generalinės prokuratūros kancleris
darbo_kodas_19, 111205,Seimo Pirmininko sekretoriato vadovas
darbo_kodas_20, 111206,Seimo Pirmininko patarėjas
darbo_kodas_21, 111207,"Institucijos ar įstaigos padalinio vadovas (Seimui ir (ar) Respublikos Prezidentui atskaitingos institucijos, vyriausybei atskaitingos įstaigos, ministerijos struktūrinio padalinio vadovas)"
darbo_kodas_22, 111208,Respublikos Prezidento patarėjas
darbo_kodas_23, 111209,Respublikos Prezidento atstovas ypatingiems pavedimams
darbo_kodas_24, 111210,Gynybos patarėjas
darbo_kodas_25, 111211,Ministro Pirmininko sekretoriato vadovas
darbo_kodas_26, 111212,Ministro Pirmininko patarėjas
darbo_kodas_27, 111213,Viceministras
darbo_kodas_28, 111214,Ministro patarėjas
darbo_kodas_29, 111215,Ministro Pirmininko kancleris
darbo_kodas_30, 111216,"Institucijos ar įstaigos vadovas (ar vyriausiasis valstybės pareigūnas) (Seimui ar Respublikos Prezidentui atskaitingos institucijos, įstaigos prie vyriausybės ar pan. vadovas)"
darbo_kodas_31, 111217,Vyriausiasis prokuroras (išskyrus apygardos ir apylinkės vyriausiąjį prokurorą)
darbo_kodas_32, 111218,Mero patarėjas
darbo_kodas_33, 111219,Įgaliotasis ministras
darbo_kodas_34, 111220,Ambasadorius
