id,kodas,name
darbo_kodas_1, 1,1 - Vadovai
darbo_kodas_2, 2,2 - Specialistai
darbo_kodas_3, 3,3 - Technikai ir jaunesnieji specialistai
darbo_kodas_4, 4,4 - Tarnautojai
darbo_kodas_5, 5,5 - Paslaugų sektoriaus darbuotojai ir pardavėjai
darbo_kodas_6, 6,"6 - Kvalifikuoti žemės, miškų ir žuvininkystės ūkio darbuotojai"
darbo_kodas_7, 7,7 - Kvalifikuoti darbininkai ir amatininkai
darbo_kodas_8, 8,8 - Įrenginių ir mašinų operatoriai ir surinkėjai
darbo_kodas_9, 9,9 - Nekvalifikuoti darbininkai
darbo_kodas_10, 0,0 - Ginkluotųjų pajėgų profesijos
darbo_kodas_11, 11,"1 - Teisės aktų leidėjai, vyresnieji valstybės tarnautojai, įmonių, įstaigų, organizacijų ir kiti vadovai"
darbo_kodas_12, 12,2 - Administravimo ir komercijos vadovai
darbo_kodas_13, 13,3 - Gamybos ir specializuotų paslaugų srities vadovai
darbo_kodas_14, 14,"4 - Viešbučių ir restoranų, mažmeninės prekybos ir kitų paslaugų srities vadovai"
darbo_kodas_15, 21,1 - Fizinių mokslų ir inžinerijos specialistai
darbo_kodas_16, 22,2 - Sveikatos specialistai
darbo_kodas_17, 23,3 - Mokymo specialistai
darbo_kodas_18, 24,4 - Verslo ir administravimo specialistai
darbo_kodas_19, 25,5 - Informacinių technologijų ir ryšių sistemų specialistai
darbo_kodas_20, 26,"6 - Teisės, socialinės srities ir kultūros specialistai"
darbo_kodas_21, 31,1 - Jaunesnieji fizinių mokslų ir inžinerijos specialistai
darbo_kodas_22, 32,2 - Jaunesnieji sveikatos specialistai
darbo_kodas_23, 33,3 - Jaunesnieji verslo ir administravimo specialistai
darbo_kodas_24, 34,"4 - Jaunesnieji teisės, socialinės srities, kultūros ir giminiškų profesijų specialistai"
darbo_kodas_25, 35,5 - Informacinių ir ryšių sistemų technikai
darbo_kodas_26, 41,"1 - Tarnautojai, atliekantys bendras funkcijas, ir klavišinių įtaisų operatoriai"
darbo_kodas_27, 42,2 - Klientų aptarnavimo tarnautojai
darbo_kodas_28, 43,"3 - Apskaitos, statistikos, finansų ir materialinių vertybių apskaitos tarnautojai"
darbo_kodas_29, 44,4 - Kiti tarnautojai
darbo_kodas_30, 51,1 - Paslaugų asmenims darbuotojai
darbo_kodas_31, 52,2 - Pardavėjai
darbo_kodas_32, 53,3 - Asmens priežiūros darbuotojai
darbo_kodas_33, 54,4 - Apsaugos darbuotojai
darbo_kodas_34, 61,1 - Kvalifikuoti prekinio žemės ūkio darbuotojai
darbo_kodas_35, 62,"2 - Kvalifikuoti prekinio miškų, žuvininkystės ir medžioklės ūkio darbuotojai"
darbo_kodas_36, 63,"3 - Natūraliojo ūkio kultūrinių augalų ir gyvulių augintojai, žvejai, miško gėrybių ir vaistažolių rinkėjai"
darbo_kodas_37, 71,1 - Statybininkai ir giminiškų profesijų darbininkai (išskyrus elektrikus)
darbo_kodas_38, 72,"2 - Metalo apdirbimo, mašinų gamybos ir giminiškų profesijų darbininkai"
darbo_kodas_39, 73,3 - Amatininkai ir spausdinimo darbininkai
