id,tabelio_zymejimas_id/id,is_overtime,is_holiday,is_absence,is_whole_day,can_only_be_set_by_accountants
work_schedule.work_schedule_code_A,l10n_lt_payroll.tabelio_zymejimas_A,FALSE,TRUE,FALSE,TRUE,FALSE
work_schedule.work_schedule_code_BĮ,l10n_lt_payroll.tabelio_zymejimas_BĮ,TRUE,FALSE,FALSE,FALSE,FALSE
work_schedule.work_schedule_code_BN,l10n_lt_payroll.tabelio_zymejimas_BN,TRUE,FALSE,FALSE,FALSE,FALSE
work_schedule.work_schedule_code_D,l10n_lt_payroll.tabelio_zymejimas_D,FALSE,FALSE,TRUE,TRUE,FALSE
work_schedule.work_schedule_code_DN,l10n_lt_payroll.tabelio_zymejimas_DN,TRUE,FALSE,FALSE,FALSE,TRUE
work_schedule.work_schedule_code_DP,l10n_lt_payroll.tabelio_zymejimas_DP,TRUE,FALSE,FALSE,FALSE,FALSE
work_schedule.work_schedule_code_FD,l10n_lt_payroll.tabelio_zymejimas_FD,TRUE,FALSE,FALSE,FALSE,FALSE
work_schedule.work_schedule_code_NT,l10n_lt_payroll.tabelio_zymejimas_NT,TRUE,FALSE,FALSE,FALSE,FALSE
work_schedule.work_schedule_code_G,l10n_lt_payroll.tabelio_zymejimas_G,FALSE,TRUE,FALSE,TRUE,FALSE
work_schedule.work_schedule_code_ID,l10n_lt_payroll.tabelio_zymejimas_ID,FALSE,FALSE,TRUE,TRUE,FALSE
work_schedule.work_schedule_code_KA,l10n_lt_payroll.tabelio_zymejimas_KA,FALSE,TRUE,FALSE,TRUE,FALSE
work_schedule.work_schedule_code_KM,l10n_lt_payroll.tabelio_zymejimas_KM,FALSE,FALSE,TRUE,TRUE,FALSE
work_schedule.work_schedule_code_KR,l10n_lt_payroll.tabelio_zymejimas_KR,FALSE,TRUE,FALSE,TRUE,FALSE
work_schedule.work_schedule_code_KS,l10n_lt_payroll.tabelio_zymejimas_KS,TRUE,FALSE,FALSE,FALSE,FALSE
work_schedule.work_schedule_code_KT,l10n_lt_payroll.tabelio_zymejimas_KT,FALSE,FALSE,TRUE,TRUE,FALSE
work_schedule.work_schedule_code_KV,l10n_lt_payroll.tabelio_zymejimas_KV,TRUE,FALSE,FALSE,FALSE,FALSE
work_schedule.work_schedule_code_KN,l10n_lt_payroll.tabelio_zymejimas_KVN,TRUE,FALSE,FALSE,FALSE,FALSE
work_schedule.work_schedule_code_L,l10n_lt_payroll.tabelio_zymejimas_L,FALSE,FALSE,TRUE,TRUE,FALSE
work_schedule.work_schedule_code_M,l10n_lt_payroll.tabelio_zymejimas_M,FALSE,FALSE,TRUE,TRUE,FALSE
work_schedule.work_schedule_code_MP,l10n_lt_payroll.tabelio_zymejimas_MP,FALSE,FALSE,TRUE,FALSE,FALSE
work_schedule.work_schedule_code_MA,l10n_lt_payroll.tabelio_zymejimas_MA,FALSE,TRUE,FALSE,TRUE,FALSE
work_schedule.work_schedule_code_MD,l10n_lt_payroll.tabelio_zymejimas_MD,TRUE,FALSE,FALSE,FALSE,FALSE
work_schedule.work_schedule_code_N,l10n_lt_payroll.tabelio_zymejimas_N,FALSE,TRUE,FALSE,TRUE,FALSE
work_schedule.work_schedule_code_NA,l10n_lt_payroll.tabelio_zymejimas_NA,FALSE,TRUE,FALSE,TRUE,FALSE
work_schedule.work_schedule_code_ND,l10n_lt_payroll.tabelio_zymejimas_ND,FALSE,TRUE,FALSE,TRUE,FALSE
work_schedule.work_schedule_code_NN,l10n_lt_payroll.tabelio_zymejimas_NN,FALSE,FALSE,TRUE,TRUE,FALSE
work_schedule.work_schedule_code_NP,l10n_lt_payroll.tabelio_zymejimas_NP,FALSE,FALSE,TRUE,TRUE,FALSE
work_schedule.work_schedule_code_NS,l10n_lt_payroll.tabelio_zymejimas_NS,FALSE,FALSE,TRUE,FALSE,FALSE
work_schedule.work_schedule_code_P,l10n_lt_payroll.tabelio_zymejimas_P,FALSE,TRUE,FALSE,FALSE,FALSE
work_schedule.work_schedule_code_PB,l10n_lt_payroll.tabelio_zymejimas_PB,FALSE,FALSE,TRUE,FALSE,FALSE
work_schedule.work_schedule_code_PK,l10n_lt_payroll.tabelio_zymejimas_PK,FALSE,FALSE,TRUE,TRUE,FALSE
work_schedule.work_schedule_code_PN,l10n_lt_payroll.tabelio_zymejimas_PN,TRUE,FALSE,FALSE,FALSE,FALSE
work_schedule.work_schedule_code_PR,l10n_lt_payroll.tabelio_zymejimas_PR,FALSE,TRUE,FALSE,TRUE,FALSE
work_schedule.work_schedule_code_PV,l10n_lt_payroll.tabelio_zymejimas_PV,FALSE,FALSE,TRUE,TRUE,FALSE
work_schedule.work_schedule_code_S,l10n_lt_payroll.tabelio_zymejimas_S,TRUE,FALSE,FALSE,FALSE,FALSE
work_schedule.work_schedule_code_ST,l10n_lt_payroll.tabelio_zymejimas_ST,FALSE,FALSE,TRUE,TRUE,FALSE
work_schedule.work_schedule_code_SŽ,l10n_lt_payroll.tabelio_zymejimas_SŽ,TRUE,FALSE,FALSE,FALSE,FALSE
work_schedule.work_schedule_code_TA,l10n_lt_payroll.tabelio_zymejimas_TA,FALSE,TRUE,FALSE,TRUE,FALSE
work_schedule.work_schedule_code_V,l10n_lt_payroll.tabelio_zymejimas_V,TRUE,FALSE,FALSE,FALSE,FALSE
work_schedule.work_schedule_code_VD,l10n_lt_payroll.tabelio_zymejimas_VD,TRUE,FALSE,FALSE,FALSE,FALSE
work_schedule.work_schedule_code_VDN,l10n_lt_payroll.tabelio_zymejimas_VDN,TRUE,FALSE,FALSE,FALSE,FALSE
work_schedule.work_schedule_code_VDS,l10n_lt_payroll.tabelio_zymejimas_VDS,TRUE,FALSE,FALSE,FALSE,FALSE
work_schedule.work_schedule_code_VV,l10n_lt_payroll.tabelio_zymejimas_VV,TRUE,FALSE,FALSE,FALSE,FALSE
work_schedule.work_schedule_code_SNV,l10n_lt_payroll.tabelio_zymejimas_SNV,TRUE,FALSE,FALSE,FALSE,TRUE
work_schedule.work_schedule_code_K,l10n_lt_payroll.tabelio_zymejimas_K,FALSE,FALSE,TRUE,TRUE,FALSE
work_schedule.work_schedule_code_NDL,l10n_lt_payroll.tabelio_zymejimas_NDL,FALSE,FALSE,FALSE,FALSE,TRUE
work_schedule.work_schedule_code_VDL,l10n_lt_payroll.tabelio_zymejimas_VDL,FALSE,FALSE,FALSE,FALSE,TRUE
work_schedule.work_schedule_code_VSS,l10n_lt_payroll.tabelio_zymejimas_VSS,TRUE,FALSE,FALSE,FALSE,FALSE
work_schedule.work_schedule_code_PP,l10n_lt_payroll.tabelio_zymejimas_PP,FALSE,FALSE,TRUE,TRUE,True
work_schedule.work_schedule_code_DLS,l10n_lt_payroll.tabelio_zymejimas_DLS,TRUE,FALSE,FALSE,FALSE,FALSE
work_schedule.work_schedule_code_NLL,l10n_lt_payroll.tabelio_zymejimas_NLL,FALSE,FALSE,TRUE,FALSE,FALSE
