id,default_code
l10n_lt.product_template_1,R01
l10n_lt.product_template_2,R02
l10n_lt.product_template_3,R03
l10n_lt.product_template_4,R04
l10n_lt.product_template_5,R05
l10n_lt.product_template_6,R06
l10n_lt.product_template_7,R07
l10n_lt.product_template_8,R08
l10n_lt.product_template_9,R09
l10n_lt.product_template_10,R10
l10n_lt.product_template_11,R11
l10n_lt.product_template_12,R12
l10n_lt.product_template_13,R13
l10n_lt.product_template_14,R14
l10n_lt.product_template_15,R15
l10n_lt.product_template_16,R25
l10n_lt.product_template_17,R75
l10n_lt.product_template_18,R16
l10n_lt.product_template_19,R17
l10n_lt.product_template_20,R18
l10n_lt.product_template_21,R19
l10n_lt.product_template_22,R20
l10n_lt.product_template_23,R21
l10n_lt.product_template_24,R22
l10n_lt.product_template_25,R23
l10n_lt.product_template_26,R24
l10n_lt.product_template_27,R26
l10n_lt.product_template_28,R27
l10n_lt.product_template_29,R28
l10n_lt.product_template_30,NPVM
